current_level,accuracy,response_time,total_attempts,later_attempts,later_mistakes,previous_score,difficulty_change
3,25.0,181.33,18,6,4,35.75,EASIER
2,28.72,107.03,9,3,2,53.46,EASIER
1,96.48,30.52,2,0,0,65.9,HARDER
2,48.42,46.33,6,0,0,69.0,HARDER
5,25.99,221.09,23,5,2,44.83,EASIER
5,28.85,271.65,24,6,2,43.97,EASIER
5,29.04,230.75,23,5,4,79.15,EASIER
5,29.79,155.82,21,3,1,71.01,SAME
2,49.44,37.99,6,0,0,67.77,HARDER
5,26.5,196.45,22,4,2,47.27,EASIER
4,25.81,141.48,18,3,1,54.13,EASIER
2,25.0,101.04,14,8,3,46.21,EASIER
3,32.06,149.32,15,3,0,67.44,HARDER
2,47.55,46.24,6,0,0,81.89,EASIER
1,67.19,39.41,3,1,0,76.0,HARDER
2,25.0,81.46,12,6,3,69.93,EASIER
2,38.59,93.87,8,2,1,70.39,EASIER
1,37.9,44.27,5,3,2,67.95,SAME
4,25.0,159.32,20,5,2,59.2,EASIER
5,25.0,288.81,27,9,5,37.46,EASIER
3,25.0,139.21,17,5,3,69.95,EASIER
4,25.0,123.42,19,4,2,56.15,EASIER
4,25.0,166.22,21,6,3,78.96,EASIER
3,30.5,88.04,16,4,0,87.74,HARDER
5,25.95,153.62,20,2,0,78.07,SAME
4,34.44,121.71,17,2,1,68.64,EASIER
2,38.93,43.07,7,1,0,45.87,SAME
2,42.24,67.58,6,0,0,79.88,HARDER
3,26.38,118.75,14,2,0,74.67,HARDER
3,29.85,131.1,13,1,0,78.56,HARDER
5,31.55,129.18,18,0,0,87.07,SAME
2,32.61,110.33,10,4,2,38.57,EASIER
3,25.0,157.71,17,5,2,49.03,EASIER
2,40.75,61.42,7,1,0,52.22,SAME
1,63.61,24.07,3,1,0,66.07,HARDER
2,56.31,39.94,6,0,0,100.0,HARDER
4,27.48,109.17,18,3,2,78.22,EASIER
1,99.61,52.4,2,0,0,67.18,HARDER
3,34.25,95.32,13,1,1,77.67,EASIER
2,38.24,105.49,8,2,2,38.99,EASIER
1,31.99,79.22,6,4,2,58.94,SAME
2,28.96,103.94,10,4,1,55.25,SAME
5,26.55,229.4,22,4,2,70.95,EASIER
5,25.31,297.28,23,5,4,25.0,EASIER
5,25.0,300.0,26,8,4,40.49,EASIER
3,25.0,115.52,19,7,3,67.95,EASIER
2,43.58,41.12,7,1,0,73.45,HARDER
1,100.0,30.09,2,0,0,78.71,HARDER
3,27.67,125.6,15,3,0,54.17,SAME
2,28.75,113.54,10,4,1,66.47,SAME
5,25.0,272.54,29,11,4,54.64,EASIER
2,44.84,54.5,7,1,0,72.97,HARDER
5,35.03,127.95,18,0,0,43.68,SAME
1,100.0,25.09,2,0,0,80.82,HARDER
3,33.22,127.46,12,0,0,59.82,HARDER
4,31.66,147.87,18,3,1,40.27,EASIER
3,25.08,147.61,13,1,1,56.84,EASIER
2,52.54,49.05,6,0,0,75.58,HARDER
5,26.95,300.0,29,11,10,48.3,EASIER
4,27.64,160.69,18,3,1,52.3,EASIER
4,27.7,107.34,17,2,1,89.21,EASIER
1,100.0,20.0,2,0,0,79.39,HARDER
5,25.0,255.44,23,5,3,38.62,EASIER
2,30.04,112.48,10,4,3,59.84,EASIER
2,49.75,62.07,6,0,0,79.1,HARDER
3,35.61,129.14,14,2,1,62.78,EASIER
1,70.4,31.98,3,1,0,60.51,SAME
4,25.0,250.0,24,9,6,37.31,EASIER
3,29.67,90.5,14,2,1,62.93,EASIER
5,26.6,259.1,21,3,3,58.41,EASIER
1,96.63,20.61,2,0,0,91.98,HARDER
1,97.51,20.32,2,0,0,71.72,HARDER
2,42.81,67.71,7,1,0,55.26,SAME
4,33.5,160.92,16,1,0,44.95,SAME
4,25.0,173.59,20,5,2,52.36,EASIER
1,40.68,58.26,5,3,0,64.73,SAME
1,64.05,20.17,3,1,0,100.0,HARDER
3,28.07,104.1,13,1,0,70.79,HARDER
2,46.99,69.09,6,0,0,72.91,HARDER
3,36.78,105.16,12,0,0,77.09,HARDER
1,100.0,27.53,2,0,0,82.63,HARDER
1,98.18,21.93,2,0,0,61.69,SAME
5,25.0,274.02,23,5,5,58.29,EASIER
2,29.48,126.81,10,4,2,41.69,EASIER
2,40.04,59.78,7,1,1,89.89,EASIER
5,27.35,208.69,23,5,1,40.73,SAME
4,27.95,113.48,17,2,2,82.62,EASIER
4,26.18,176.23,19,4,2,63.6,EASIER
1,27.15,46.3,7,5,0,54.8,SAME
4,27.79,250.0,20,5,5,45.47,EASIER
3,38.06,74.29,12,0,0,55.26,SAME
2,27.94,103.36,11,5,4,37.04,EASIER
1,97.91,42.73,2,0,0,54.31,SAME
4,32.79,116.9,17,2,0,76.29,HARDER
1,35.08,69.3,6,4,1,39.88,SAME
5,36.43,256.01,19,1,1,79.02,EASIER
3,32.45,118.49,13,1,0,55.3,SAME
1,100.0,20.0,2,0,0,100.0,HARDER
4,28.77,108.1,17,2,0,51.31,EASIER
5,25.0,300.0,25,7,7,42.89,EASIER
2,25.0,122.19,14,8,4,47.14,EASIER
4,25.0,177.56,19,4,1,75.59,SAME
3,29.14,136.27,14,2,0,54.95,SAME
1,66.78,39.65,3,1,0,70.55,HARDER
5,31.31,152.16,23,5,1,97.78,SAME
4,31.87,133.62,18,3,1,74.47,SAME
2,38.35,49.84,7,1,0,47.97,EASIER
5,25.0,184.03,24,6,2,75.4,SAME
2,40.79,61.85,8,2,0,80.43,HARDER
3,25.0,156.19,17,5,1,61.96,SAME
2,51.23,64.77,6,0,0,82.6,HARDER
2,42.67,95.63,7,1,0,54.46,SAME
3,32.86,81.62,13,1,0,78.48,HARDER
4,25.0,250.0,27,12,10,35.21,EASIER
3,31.5,85.87,14,2,1,90.86,EASIER
1,68.64,33.55,3,1,0,70.12,HARDER
5,28.86,175.36,23,5,1,49.95,SAME
2,44.41,66.99,7,1,0,58.42,SAME
1,100.0,20.0,2,0,0,83.43,HARDER
1,100.0,31.47,2,0,0,93.9,HARDER
5,30.93,195.45,19,1,1,46.4,EASIER
2,51.76,53.22,6,0,0,81.89,HARDER
4,29.75,105.73,17,2,1,68.89,EASIER
3,25.0,144.7,18,6,3,49.89,EASIER
3,33.14,67.88,13,1,0,94.23,HARDER
2,47.45,89.91,7,1,1,63.39,EASIER
3,27.11,89.08,13,1,0,66.69,HARDER
4,27.52,169.44,17,2,1,51.94,EASIER
5,26.6,207.11,23,5,4,81.58,EASIER
3,35.84,158.35,12,0,0,54.04,SAME
2,48.78,62.56,7,1,0,85.49,HARDER
3,27.78,116.75,14,2,1,54.22,EASIER
3,29.64,144.87,14,2,1,62.98,EASIER
2,36.2,99.57,8,2,2,58.61,EASIER
1,100.0,37.09,2,0,0,89.65,HARDER
2,47.29,55.81,6,0,0,87.87,HARDER
4,33.08,143.83,15,0,0,84.49,HARDER
1,100.0,20.0,2,0,0,100.0,HARDER
3,31.91,111.86,14,2,1,63.32,EASIER
5,25.0,298.2,22,4,2,43.51,EASIER
4,38.31,124.25,16,1,1,79.97,EASIER
1,67.34,45.94,3,1,1,79.96,SAME
5,29.12,219.02,20,2,1,40.9,EASIER
2,43.37,61.53,7,1,0,79.03,SAME
5,25.74,188.17,23,5,4,58.0,EASIER
2,35.46,107.65,9,3,0,56.23,SAME
5,35.29,109.38,19,1,0,80.7,SAME
4,25.0,131.99,17,2,1,77.83,EASIER
4,33.23,137.04,16,1,1,82.51,EASIER
2,25.0,108.22,13,7,2,25.09,EASIER
2,32.04,91.46,9,3,1,25.25,EASIER
2,31.13,110.45,9,3,2,39.07,EASIER
2,39.5,85.8,7,1,0,63.66,SAME
5,25.33,236.83,25,7,3,57.3,EASIER
5,25.0,277.71,24,6,4,76.81,EASIER
2,35.86,71.37,8,2,1,64.73,HARDER
3,26.32,130.18,17,5,2,77.36,SAME
4,30.47,153.57,18,3,1,55.49,EASIER
1,100.0,40.96,2,0,0,87.56,HARDER
4,32.08,208.43,20,5,3,63.6,EASIER
3,30.44,90.59,12,0,0,83.64,HARDER
4,32.57,147.33,17,2,0,51.15,SAME
1,36.78,70.2,5,3,1,53.28,SAME
1,100.0,29.56,2,0,0,77.64,HARDER
5,27.22,300.0,21,3,3,39.0,EASIER
4,25.0,136.92,20,5,1,73.55,HARDER
5,35.2,177.34,18,0,0,68.14,SAME
4,25.98,109.42,15,0,0,73.11,HARDER
4,25.86,167.59,19,4,3,58.2,EASIER
4,25.0,108.06,17,2,1,72.52,EASIER
5,35.15,160.74,18,0,0,97.23,SAME
4,37.05,122.06,15,0,0,78.15,HARDER
4,26.7,159.67,17,2,1,49.19,EASIER
1,100.0,33.86,2,0,0,82.87,HARDER
1,100.0,32.23,2,0,0,92.06,HARDER
4,25.0,218.12,22,7,5,43.52,EASIER
2,38.71,82.73,9,3,1,64.22,SAME
3,28.0,133.7,14,2,0,80.89,HARDER
3,25.0,152.26,16,4,2,69.3,EASIER
4,26.06,220.57,18,3,0,70.04,SAME
4,28.72,167.81,20,5,3,61.69,EASIER
3,30.56,159.48,14,2,2,61.89,EASIER
1,99.88,33.88,2,0,0,73.09,HARDER
3,33.88,74.35,12,0,0,83.94,HARDER
1,100.0,24.64,2,0,0,86.72,HARDER
4,33.81,79.56,15,0,0,76.53,HARDER
5,25.0,253.69,25,7,3,55.94,EASIER
4,27.87,216.36,19,4,3,50.55,EASIER
4,30.93,170.96,17,2,1,65.61,EASIER
3,29.24,143.05,14,2,0,56.98,SAME
3,28.46,104.75,14,2,1,74.04,EASIER
1,98.12,25.31,2,0,0,91.22,HARDER
1,100.0,41.43,2,0,0,89.66,HARDER
5,25.0,265.05,22,4,2,68.88,EASIER
2,52.33,50.66,6,0,0,86.91,HARDER
2,41.26,53.57,8,2,0,56.38,SAME
1,41.19,50.72,5,3,1,68.77,SAME
2,45.03,44.41,6,0,0,95.96,HARDER
2,35.58,72.98,8,2,0,68.69,HARDER
2,25.86,80.13,10,4,1,72.41,SAME
1,70.4,38.94,3,1,0,84.94,HARDER
3,33.57,125.08,13,1,0,69.38,HARDER
5,31.54,284.25,21,3,3,28.87,EASIER
2,42.05,59.64,7,1,0,100.0,HARDER
3,32.89,90.4,12,0,0,67.08,HARDER
1,46.81,55.66,4,2,0,75.82,HARDER
4,25.0,176.75,22,7,5,74.74,EASIER
5,25.0,300.0,23,5,3,48.0,EASIER
5,33.4,165.64,21,3,0,64.96,SAME
1,49.32,36.13,4,2,0,67.98,HARDER
3,25.0,123.75,16,4,1,54.2,SAME
1,98.07,28.64,2,0,0,67.22,HARDER
3,28.0,116.91,14,2,1,89.39,EASIER
4,26.59,215.46,17,2,2,52.6,EASIER
1,55.23,53.29,4,2,1,60.6,SAME
2,50.09,65.73,6,0,0,81.53,HARDER
5,34.82,222.9,19,1,0,68.24,SAME
5,25.95,234.4,21,3,2,69.25,EASIER
3,30.36,85.82,14,2,0,82.88,HARDER
3,37.61,72.32,12,0,0,99.56,HARDER
3,26.5,141.54,15,3,2,61.42,EASIER
5,26.39,206.27,19,1,1,62.06,EASIER
3,28.82,125.88,13,1,1,72.52,EASIER
1,98.56,20.0,2,0,0,55.34,SAME
5,30.97,135.21,19,1,0,76.22,SAME
1,94.91,21.37,2,0,0,80.46,HARDER
4,31.16,178.38,18,3,0,51.98,SAME
5,31.66,178.9,19,1,1,48.68,EASIER
1,100.0,36.23,2,0,0,69.56,HARDER
3,25.0,102.72,17,5,0,58.95,SAME
3,25.0,154.52,19,7,1,61.49,SAME
3,27.85,156.22,15,3,2,60.33,HARDER
5,29.83,245.38,24,6,4,47.47,EASIER
2,42.86,39.84,7,1,0,67.59,HARDER
1,92.19,29.55,2,0,0,59.79,SAME
4,25.0,217.44,22,7,2,61.45,EASIER
3,25.9,153.77,15,3,1,64.5,SAME
1,63.88,20.0,3,1,0,81.41,HARDER
4,27.65,177.08,18,3,2,62.09,EASIER
5,27.86,270.61,23,5,2,46.31,EASIER
4,25.0,179.12,19,4,1,52.95,SAME
5,27.64,240.38,20,2,0,47.37,SAME
3,27.62,136.93,15,3,0,74.88,HARDER
4,32.82,109.22,17,2,0,89.08,HARDER
2,36.12,73.06,8,2,0,69.57,HARDER
1,70.41,38.23,3,1,0,78.35,HARDER
5,28.4,217.86,20,2,2,100.0,EASIER
4,25.0,198.63,19,4,3,34.75,EASIER
4,32.16,114.62,16,1,0,73.23,HARDER
4,28.9,182.91,17,2,0,38.37,SAME
3,25.0,103.4,15,3,0,66.55,HARDER
3,30.46,123.65,13,1,0,83.27,HARDER
3,25.0,172.29,20,8,1,57.17,EASIER
2,37.51,90.53,8,2,1,60.7,EASIER
3,29.9,124.63,13,1,0,86.36,HARDER
1,96.82,20.0,2,0,0,78.66,HARDER
5,29.13,212.13,21,3,2,70.18,EASIER
4,38.65,120.94,15,0,0,79.34,HARDER
1,49.14,68.15,4,2,0,68.09,HARDER
4,25.74,199.19,18,3,1,73.0,SAME
1,96.14,26.78,2,0,0,91.37,HARDER
2,53.7,57.03,6,0,0,73.89,HARDER
4,33.2,176.01,18,3,1,66.38,SAME
5,25.0,221.41,23,5,3,47.54,EASIER
2,36.97,77.54,8,2,1,75.03,EASIER
2,55.78,40.54,6,0,0,76.03,HARDER
5,27.78,246.44,21,3,0,59.23,EASIER
4,25.37,212.3,20,5,0,67.8,SAME
2,37.96,88.17,8,2,2,82.27,EASIER
3,25.91,128.15,15,3,1,54.92,EASIER
4,35.65,116.57,15,0,0,100.0,HARDER
2,50.67,43.22,6,0,0,83.6,HARDER
2,29.78,112.8,11,5,3,64.41,EASIER
2,44.95,56.03,6,0,0,90.35,HARDER
5,28.72,185.86,23,5,2,85.6,SAME
2,38.76,41.48,7,1,0,66.4,HARDER
1,67.65,46.71,3,1,0,60.58,SAME
4,25.0,250.0,22,7,7,42.48,EASIER
5,32.92,163.94,20,2,1,89.73,EASIER
3,30.45,70.64,12,0,0,88.58,HARDER
1,98.56,46.13,2,0,0,61.89,SAME
2,54.56,61.79,6,0,0,96.08,HARDER
3,31.84,115.43,15,3,0,57.33,SAME
2,52.52,61.51,6,0,0,69.24,HARDER
3,29.5,132.18,14,2,1,54.48,EASIER
4,29.07,140.64,16,1,1,77.92,EASIER
3,31.47,132.69,16,4,0,61.81,SAME
5,25.29,250.1,24,6,5,64.82,EASIER
2,41.73,55.03,7,1,0,70.96,HARDER
2,48.42,49.1,6,0,0,85.34,HARDER
1,92.43,36.66,2,0,0,66.5,HARDER
3,30.59,108.92,13,1,1,59.56,EASIER
2,26.99,89.97,10,4,0,55.97,SAME
1,31.27,55.11,6,4,0,56.02,SAME
3,34.38,94.28,12,0,0,90.76,HARDER
3,31.71,103.04,12,0,0,66.69,HARDER
5,28.92,160.02,22,4,1,89.99,SAME
2,32.67,77.59,7,1,0,72.2,HARDER
3,25.37,116.85,15,3,0,85.91,HARDER
3,34.98,107.82,12,0,0,61.94,SAME
1,99.35,26.17,2,0,0,59.37,SAME
2,49.18,62.73,6,0,0,98.07,HARDER
4,25.0,231.51,21,6,3,46.48,EASIER
5,31.14,175.29,23,5,1,65.66,SAME
1,61.05,21.87,3,1,0,82.05,HARDER
1,65.25,32.6,3,1,0,83.14,HARDER
5,25.0,164.51,25,7,5,71.15,EASIER
4,25.0,157.01,19,4,1,59.76,SAME
4,25.0,166.37,19,4,1,73.04,SAME
5,28.7,132.51,20,2,1,74.93,EASIER
5,26.52,259.83,21,3,3,52.39,EASIER
4,29.13,246.21,19,4,2,48.26,EASIER
4,25.0,218.49,20,5,2,29.06,EASIER
5,25.0,300.0,22,4,2,41.91,EASIER
4,27.77,161.01,18,3,2,49.47,EASIER
3,32.62,52.75,12,0,0,79.56,HARDER
4,27.27,173.45,18,3,2,62.95,EASIER
4,26.63,182.58,20,5,2,51.35,EASIER
4,34.49,152.64,16,1,1,51.41,EASIER
4,29.88,247.48,20,5,3,28.53,EASIER
4,30.45,155.43,17,2,1,64.01,EASIER
4,31.86,208.78,18,3,1,59.4,EASIER
1,62.99,53.71,3,1,0,34.87,SAME
1,100.0,29.23,2,0,0,78.45,HARDER
3,34.55,72.67,12,0,0,83.83,HARDER
2,44.86,44.59,6,0,0,91.98,HARDER
5,29.04,238.78,23,5,4,33.32,EASIER
3,37.87,77.45,13,1,0,75.94,HARDER
2,49.5,52.56,6,0,0,80.72,HARDER
2,34.05,102.97,8,2,2,49.94,EASIER
3,26.51,102.7,14,2,1,70.93,EASIER
1,99.97,28.38,2,0,0,74.35,HARDER
3,36.31,106.88,15,3,0,62.58,SAME
4,29.4,146.43,21,6,2,63.88,SAME
5,27.67,257.74,22,4,2,42.64,EASIER
4,31.47,149.48,16,1,0,74.16,HARDER
3,31.23,102.54,13,1,1,80.9,EASIER
5,28.57,271.62,26,8,5,37.26,EASIER
2,38.5,51.85,8,2,0,67.65,HARDER
2,25.0,65.0,10,4,0,54.06,SAME
5,27.65,200.59,21,3,2,73.71,EASIER
1,40.82,49.48,5,3,2,56.32,SAME
1,100.0,29.25,2,0,0,64.7,SAME
1,98.44,41.46,2,0,0,72.79,HARDER
2,52.26,54.98,6,0,0,88.0,HARDER
3,34.86,127.25,13,1,0,67.57,HARDER
2,49.78,49.72,6,0,0,84.36,HARDER
5,25.0,300.0,27,9,7,44.27,EASIER
5,31.53,238.75,19,1,1,62.28,EASIER
4,25.0,163.56,19,4,2,77.5,EASIER
4,26.73,106.46,15,0,0,97.73,HARDER
1,67.93,30.49,3,1,0,62.77,SAME
5,28.78,146.85,20,2,1,99.73,EASIER
1,52.8,36.5,4,2,0,76.01,HARDER
3,28.61,94.08,12,0,0,68.57,HARDER
4,32.01,194.86,16,1,1,67.68,EASIER
4,30.61,146.34,18,3,2,52.92,EASIER
4,25.0,201.98,24,9,2,65.5,SAME
4,25.0,247.75,20,5,3,25.0,EASIER
2,36.64,39.81,8,2,0,65.98,HARDER
2,34.89,77.02,9,3,0,68.86,HARDER
1,100.0,20.0,2,0,0,83.84,HARDER
2,25.0,125.02,12,6,2,31.11,EASIER
1,37.19,42.05,5,3,0,64.25,SAME
1,98.11,47.74,2,0,0,41.54,SAME
1,64.89,37.67,3,1,0,96.22,HARDER
5,26.38,150.44,20,2,1,75.32,EASIER
3,25.0,110.03,16,4,2,72.57,EASIER
2,25.0,135.89,11,5,2,50.78,EASIER
1,98.2,30.24,2,0,0,83.4,HARDER
3,30.41,87.6,12,0,0,67.62,HARDER
3,25.0,199.83,19,7,4,36.52,EASIER
2,53.73,36.75,6,0,0,87.2,HARDER
5,30.37,230.45,20,2,2,62.49,EASIER
5,26.84,267.25,21,3,2,43.22,EASIER
5,29.51,158.83,23,5,0,58.27,SAME
1,100.0,46.52,2,0,0,82.56,HARDER
3,30.64,140.38,12,0,0,68.57,HARDER
3,25.0,210.0,18,6,3,46.92,EASIER
4,25.0,250.0,22,7,6,48.75,EASIER
1,99.85,23.48,2,0,0,80.27,HARDER
5,25.92,186.19,19,1,1,71.73,EASIER
5,35.7,123.72,19,1,0,100.0,SAME
4,27.28,234.48,19,4,1,48.88,EASIER
2,50.32,84.63,6,0,0,72.27,HARDER
4,25.0,234.0,19,4,4,51.78,EASIER
2,48.83,70.63,6,0,0,51.99,SAME
2,50.44,40.46,6,0,0,92.97,HARDER
3,31.3,104.7,12,0,0,85.54,HARDER
2,25.64,104.0,11,5,2,50.96,EASIER
4,26.2,116.66,16,1,1,67.58,EASIER
5,25.0,272.58,26,8,7,54.97,EASIER
3,25.78,90.18,15,3,1,76.46,SAME
3,33.25,118.92,13,1,1,66.89,EASIER
1,40.46,40.31,5,3,1,50.13,SAME
4,27.61,149.69,19,4,1,66.96,SAME
2,43.27,44.66,6,0,0,84.07,HARDER
2,33.81,120.7,10,4,2,38.34,EASIER
5,25.0,184.97,21,3,2,55.9,EASIER
1,99.26,30.28,2,0,0,89.53,HARDER
2,37.32,85.35,7,1,0,59.08,SAME
2,31.71,91.7,10,4,2,67.3,EASIER
3,39.09,57.9,12,0,0,84.49,HARDER
2,42.69,67.01,7,1,1,84.44,EASIER
1,100.0,33.49,2,0,0,60.8,SAME
5,29.22,193.41,21,3,0,55.65,SAME
4,25.0,206.71,19,4,1,45.48,EASIER
5,25.55,247.11,24,6,3,52.11,EASIER
4,25.23,173.22,20,5,2,68.7,EASIER
4,28.01,106.34,16,1,0,82.62,HARDER
5,25.7,224.78,23,5,2,62.95,EASIER
3,36.04,62.59,12,0,0,86.77,HARDER
1,99.87,31.77,2,0,0,66.19,HARDER
1,28.76,77.09,7,5,3,33.24,SAME
1,66.56,50.9,3,1,1,50.49,SAME
1,100.0,30.77,2,0,0,76.26,HARDER
5,31.55,198.61,20,2,1,43.57,EASIER
4,33.49,91.76,15,0,0,78.78,HARDER
3,28.21,132.88,16,4,2,79.27,EASIER
3,25.0,144.74,15,3,1,75.0,SAME
1,98.57,24.24,2,0,0,79.99,HARDER
4,29.16,203.9,17,2,2,72.18,EASIER
4,29.17,124.1,16,1,1,64.53,EASIER
2,50.74,49.44,6,0,0,84.17,HARDER
1,100.0,27.24,2,0,0,95.36,HARDER
1,51.58,39.61,4,2,1,84.12,SAME
3,28.78,85.04,14,2,0,75.79,HARDER
1,51.39,56.96,4,2,1,48.62,SAME
1,66.86,34.03,3,1,1,72.42,SAME
2,51.58,52.82,6,0,0,65.16,HARDER
2,41.31,60.53,7,1,0,63.31,SAME
3,32.27,83.48,12,0,0,85.71,HARDER
2,35.42,52.92,8,2,0,80.99,HARDER
5,27.4,271.23,23,5,4,59.56,EASIER
1,100.0,20.0,2,0,0,97.63,HARDER
2,44.42,81.89,7,1,1,50.7,EASIER
1,68.63,41.43,3,1,0,74.27,HARDER
4,26.32,178.37,20,5,2,65.34,EASIER
5,30.47,250.96,20,2,1,65.68,EASIER
2,47.96,58.46,6,0,0,100.0,HARDER
1,100.0,32.26,2,0,0,67.82,HARDER
2,44.97,47.78,7,1,0,72.03,HARDER
4,34.86,110.43,15,0,0,90.19,HARDER
5,25.0,195.66,24,6,2,66.13,EASIER
1,99.94,21.4,2,0,0,76.77,HARDER
5,26.58,228.16,21,3,1,47.68,EASIER
1,98.19,28.67,2,0,0,98.42,HARDER
2,41.94,68.5,7,1,0,72.56,HARDER
2,53.36,68.99,6,0,0,72.35,HARDER
5,28.57,276.76,23,5,4,65.52,EASIER
4,25.72,165.45,16,1,1,67.46,EASIER
2,29.4,104.08,10,4,0,57.06,SAME
4,28.48,136.84,19,4,1,65.31,SAME
5,30.7,169.64,18,0,0,70.26,SAME
2,46.39,78.15,7,1,0,83.56,HARDER
3,25.87,131.78,13,1,1,72.02,EASIER
3,29.9,112.64,14,2,0,74.07,HARDER
1,97.88,26.14,2,0,0,99.18,HARDER
2,41.55,74.6,7,1,0,60.09,SAME
5,25.0,130.85,21,3,0,64.51,SAME
5,27.34,300.0,24,6,3,45.25,EASIER
4,34.0,127.81,15,0,0,67.52,HARDER
3,27.1,124.11,16,4,1,47.2,SAME
2,43.58,54.25,6,0,0,96.86,HARDER
4,27.31,193.1,21,6,3,60.98,EASIER
5,25.0,300.0,24,6,4,35.47,EASIER
3,27.87,147.05,15,3,2,87.63,EASIER
2,30.59,82.99,9,3,1,56.15,SAME
2,48.9,44.59,6,0,0,85.1,HARDER
1,45.88,36.88,4,2,0,67.1,HARDER
1,95.43,20.0,2,0,0,100.0,HARDER
5,29.75,151.84,19,1,0,71.05,SAME
2,47.91,43.58,6,0,0,78.96,HARDER
4,27.53,242.41,19,4,3,33.07,EASIER
4,28.74,222.1,17,2,2,25.97,EASIER
4,25.82,183.7,20,5,2,52.8,EASIER
4,28.69,237.43,19,4,3,35.77,EASIER
2,44.42,63.35,7,1,0,62.56,SAME
3,25.0,162.5,18,6,1,41.29,SAME
4,32.1,120.13,15,0,0,46.49,SAME
3,26.48,141.99,15,3,1,38.14,EASIER
1,100.0,23.94,2,0,0,80.97,HARDER
1,100.0,28.19,2,0,0,82.65,HARDER
1,38.07,53.53,5,3,0,52.3,SAME
4,25.0,164.34,21,6,3,63.49,EASIER
1,100.0,37.66,2,0,0,91.55,HARDER
2,29.44,127.63,10,4,3,26.81,EASIER
5,25.54,216.22,21,3,3,69.94,EASIER
4,31.52,103.48,17,2,0,56.43,SAME
3,31.97,92.81,14,2,0,61.32,SAME
3,26.57,157.19,15,3,2,45.27,EASIER
3,32.85,85.04,12,0,0,73.51,HARDER
1,69.12,28.02,3,1,0,69.54,HARDER
1,34.23,41.08,5,3,1,75.34,SAME
2,51.38,51.79,6,0,0,90.84,HARDER
2,52.96,70.77,6,0,0,62.72,SAME
3,25.0,130.29,17,5,1,82.48,HARDER
3,25.0,124.85,14,2,1,48.73,EASIER
1,98.43,23.62,2,0,0,58.03,SAME
5,33.7,174.0,19,1,0,90.0,SAME
5,25.0,147.99,20,2,0,83.29,SAME
1,96.83,29.52,2,0,0,99.07,HARDER
5,27.31,154.56,18,0,0,67.69,SAME
3,27.89,145.91,16,4,3,64.2,EASIER
5,32.58,191.11,20,2,1,58.17,EASIER
4,25.0,178.19,19,4,2,49.07,EASIER
2,50.87,58.55,6,0,0,80.44,HARDER
1,68.04,38.92,3,1,0,86.83,HARDER
2,32.96,103.76,9,3,2,50.36,EASIER
5,27.01,261.47,22,4,2,66.36,EASIER
4,32.09,153.92,16,1,0,75.72,HARDER
3,26.28,145.28,16,4,1,57.55,SAME
2,47.0,49.1,7,1,0,62.17,SAME
1,100.0,22.52,2,0,0,77.75,HARDER
1,47.43,61.65,4,2,1,60.01,SAME
4,28.24,205.52,17,2,1,59.87,EASIER
3,25.0,175.97,16,4,1,68.77,SAME
1,65.18,34.32,3,1,0,57.27,SAME
1,51.68,65.23,4,2,1,61.72,SAME
5,28.56,135.47,20,2,2,88.01,EASIER
5,28.96,186.42,20,2,1,80.4,EASIER
1,96.61,22.7,2,0,0,49.56,SAME
1,100.0,20.0,2,0,0,83.64,HARDER
2,32.13,95.69,9,3,0,70.34,HARDER
5,25.0,300.0,27,9,8,51.66,EASIER
4,31.03,142.28,18,3,1,80.54,SAME
1,36.29,39.05,5,3,0,62.51,EASIER
4,25.0,201.93,21,6,4,71.55,EASIER
5,35.64,155.85,18,0,0,57.99,SAME
1,49.22,31.0,4,2,0,59.09,SAME
4,27.28,250.0,21,6,4,50.65,EASIER
3,31.4,117.46,13,1,1,59.02,EASIER
3,33.23,126.79,15,3,2,86.24,EASIER
4,29.01,179.12,18,3,0,62.61,SAME
3,31.31,90.28,14,2,0,65.36,EASIER
5,30.1,240.99,21,3,2,73.84,EASIER
2,50.22,30.91,6,0,0,100.0,HARDER
3,25.0,136.99,18,6,3,67.61,EASIER
5,31.15,154.44,19,1,1,65.0,EASIER
1,47.41,34.99,4,2,0,62.2,SAME
4,25.52,210.84,21,6,1,42.94,EASIER
2,48.43,60.92,6,0,0,64.12,SAME
1,50.19,44.7,4,2,1,40.08,SAME
4,31.5,144.71,16,1,1,77.75,EASIER
3,26.27,182.31,18,6,1,67.93,HARDER
5,36.35,164.74,19,1,0,62.55,SAME
4,26.81,188.34,17,2,0,41.01,SAME
2,34.35,75.48,9,3,1,83.29,SAME
2,52.33,58.04,6,0,0,69.38,HARDER
5,29.98,208.04,20,2,1,56.16,EASIER
1,66.58,40.15,3,1,0,38.73,SAME
1,65.88,42.73,3,1,0,70.13,HARDER
4,25.0,227.7,22,7,3,53.83,EASIER
3,33.69,74.08,12,0,0,68.45,HARDER
4,27.29,147.91,19,4,2,95.68,EASIER
2,33.08,57.96,9,3,1,72.52,SAME
4,26.06,178.39,21,6,2,78.7,SAME
1,100.0,24.97,2,0,0,83.62,HARDER
3,30.76,102.5,12,0,0,85.32,HARDER
1,100.0,27.03,2,0,0,100.0,HARDER
3,26.88,116.94,14,2,1,77.73,EASIER
3,31.35,103.66,12,0,0,85.1,HARDER
4,37.94,126.17,15,0,0,65.31,HARDER
5,28.03,123.67,20,2,0,85.83,SAME
