sequence_length,accuracy,response_time,total_attempts,mistakes,previous_score,current_level,difficulty_change
5,54.21,70.69,5,4,42.11,3,EASIER
7,56.34,153.14,4,4,50.02,5,EASIER
6,62.15,285.89,1,2,57.26,4,EASIER
6,28.23,149.17,5,4,18.2,4,EASIER
6,87.77,35.02,1,0,78.83,4,HARDER
6,67.43,67.99,5,3,60.43,4,EASIER
3,73.34,22.2,2,2,74.66,1,SAME
5,80.49,77.1,1,0,81.55,3,SAME
3,83.74,16.5,3,1,84.69,1,SAME
5,74.75,44.59,1,0,74.96,3,SAME
3,59.96,14.37,4,3,59.61,1,EASIER
5,59.13,43.05,2,2,56.66,3,SAME
4,58.28,29.14,2,2,56.62,2,SAME
3,72.33,21.75,5,2,68.67,1,EASIER
3,85.18,14.74,1,1,83.65,1,HARDER
5,86.19,94.31,2,0,85.44,3,SAME
3,89.33,30.85,2,1,90.24,1,HARDER
7,62.88,50.85,1,2,62.67,5,SAME
6,86.68,83.11,1,0,87.46,4,HARDER
6,55.95,36.34,3,2,55.0,4,SAME
3,82.94,45.43,1,1,81.2,1,SAME
6,63.2,189.82,2,1,63.08,4,EASIER
6,50.62,79.66,3,3,47.42,4,EASIER
4,86.5,25.45,1,0,83.13,2,HARDER
3,94.54,18.6,1,0,88.34,1,HARDER
5,78.19,46.33,1,1,79.89,3,SAME
6,74.7,77.57,1,1,73.13,4,SAME
3,86.04,46.0,2,1,84.1,1,SAME
3,91.41,38.25,1,1,88.68,1,SAME
4,48.86,59.98,5,3,43.58,2,EASIER
5,65.6,63.11,1,0,68.1,3,SAME
5,69.24,32.77,1,1,66.09,3,SAME
5,55.93,39.62,3,2,52.48,3,SAME
4,91.5,39.1,1,1,88.31,2,HARDER
3,100.0,14.65,1,0,100.0,1,HARDER
3,89.97,28.62,1,1,90.91,1,HARDER
3,82.0,35.77,4,2,85.82,1,EASIER
6,60.44,108.89,1,2,57.43,4,SAME
6,66.74,106.64,1,2,63.44,4,SAME
5,68.43,23.03,2,0,70.52,3,SAME
3,95.2,45.25,1,0,92.47,1,EASIER
5,49.52,26.7,4,3,47.89,3,EASIER
7,43.46,103.05,5,4,37.96,5,HARDER
4,73.12,50.82,3,2,72.88,2,SAME
5,78.19,69.27,1,1,74.77,3,SAME
5,64.01,30.81,2,1,61.82,3,SAME
4,66.01,22.68,1,2,63.97,2,SAME
5,71.61,66.86,1,1,71.16,3,SAME
5,84.16,74.69,1,1,81.51,3,SAME
5,50.8,33.53,2,3,49.27,3,EASIER
6,44.4,100.57,2,3,40.82,4,EASIER
5,60.02,27.4,3,3,57.19,3,EASIER
3,80.25,33.01,1,0,76.16,1,SAME
3,100.0,16.87,1,1,93.63,1,HARDER
5,79.58,60.36,1,1,75.85,3,SAME
7,44.68,106.79,3,3,42.07,5,EASIER
3,94.26,41.9,2,1,93.88,1,SAME
3,89.15,27.84,1,1,92.27,1,HARDER
6,55.15,60.05,3,2,50.73,4,SAME
5,75.26,69.3,4,4,69.81,3,EASIER
4,55.9,104.01,1,1,51.48,2,EASIER
4,58.2,53.81,3,2,58.67,2,SAME
6,47.92,79.52,5,4,40.39,4,EASIER
5,38.57,38.39,5,4,35.2,3,EASIER
6,59.43,59.51,1,2,56.79,4,SAME
4,92.02,52.31,1,1,89.01,2,HARDER
5,55.63,37.41,3,3,48.07,3,EASIER
7,60.12,112.16,2,3,57.32,5,EASIER
4,78.35,74.68,1,2,74.26,2,SAME
4,87.7,40.78,1,0,81.53,2,HARDER
3,89.0,15.47,1,1,93.85,1,HARDER
6,65.48,254.47,1,2,63.95,4,HARDER
3,98.15,54.77,1,0,100.0,1,EASIER
4,61.57,48.09,3,3,55.33,2,EASIER
6,39.13,159.19,2,3,31.18,4,EASIER
3,88.53,22.2,1,0,87.37,1,HARDER
7,24.29,166.22,5,6,19.17,5,EASIER
5,55.18,47.03,3,3,47.82,3,EASIER
4,64.95,20.1,1,2,62.4,2,SAME
5,60.43,209.23,1,1,56.76,3,EASIER
6,56.47,39.46,3,3,50.85,4,EASIER
5,55.77,67.2,3,2,56.72,3,SAME
7,32.95,130.88,5,4,29.58,5,HARDER
7,67.25,148.37,1,2,65.84,5,SAME
4,92.6,36.43,2,1,92.85,2,HARDER
6,86.89,78.69,1,0,84.41,4,HARDER
4,48.66,40.55,5,3,49.02,2,EASIER
7,52.08,145.48,1,3,46.64,5,EASIER
4,68.8,37.97,1,1,70.13,2,SAME
4,85.98,36.8,2,2,88.64,2,SAME
6,58.02,41.25,3,2,52.9,4,SAME
6,59.48,233.65,3,2,52.79,4,EASIER
3,91.45,31.73,1,0,92.46,1,HARDER
5,49.37,64.32,4,3,45.11,3,EASIER
4,76.46,28.33,2,1,76.31,2,SAME
6,60.61,48.66,2,3,54.23,4,EASIER
5,45.63,88.78,4,4,38.37,3,EASIER
7,56.94,102.66,2,2,52.83,5,SAME
7,35.77,157.12,3,3,33.99,5,EASIER
6,78.29,40.59,2,0,80.54,4,SAME
6,42.96,183.29,1,3,38.84,4,EASIER
7,63.55,183.05,2,2,68.95,5,SAME
3,84.47,24.11,1,0,88.46,1,SAME
6,36.24,104.57,1,2,30.97,4,EASIER
6,40.12,120.55,2,3,35.11,4,EASIER
3,82.28,13.79,2,1,86.45,1,HARDER
7,44.96,279.48,1,4,37.53,5,EASIER
6,65.61,105.43,2,2,71.18,4,SAME
4,79.32,27.29,1,0,80.11,2,SAME
5,83.36,33.7,1,1,84.31,3,SAME
5,74.19,94.54,1,1,72.89,3,SAME
7,48.07,125.66,4,4,37.68,5,EASIER
7,55.84,145.7,3,2,55.58,5,SAME
7,40.45,113.64,5,4,32.65,5,EASIER
6,52.73,48.68,3,4,47.81,4,SAME
3,84.14,31.35,4,2,84.95,1,EASIER
7,55.26,100.57,2,2,53.34,5,SAME
3,82.0,24.76,1,1,77.12,1,SAME
3,81.56,72.0,1,1,79.03,1,EASIER
3,93.3,36.8,1,1,86.07,1,SAME
7,40.08,185.6,5,4,32.52,5,EASIER
5,64.13,222.98,2,1,63.16,3,EASIER
4,90.76,45.53,1,1,89.71,2,HARDER
3,78.83,26.37,2,1,77.74,1,SAME
5,88.95,41.44,1,1,86.91,3,HARDER
6,70.07,64.81,1,2,67.64,4,SAME
7,43.02,36.7,3,4,34.5,5,EASIER
5,53.76,85.77,1,2,48.58,3,EASIER
6,62.66,42.43,3,2,57.66,4,SAME
7,43.86,183.18,2,3,48.97,5,EASIER
7,23.04,109.4,5,4,19.55,5,EASIER
4,69.73,40.36,1,0,76.05,2,SAME
7,65.84,109.44,2,2,61.0,5,SAME
5,67.3,115.19,2,1,63.11,3,SAME
7,39.28,216.51,4,5,28.18,5,EASIER
3,87.6,24.68,1,1,83.85,1,HARDER
3,90.43,16.76,1,1,86.83,1,HARDER
7,49.66,185.31,2,2,45.17,5,EASIER
6,50.21,49.4,2,3,44.66,4,EASIER
3,84.97,12.52,3,1,84.67,1,SAME
7,36.76,146.95,3,3,34.44,5,EASIER
3,82.6,43.0,1,0,84.75,1,SAME
6,74.06,66.43,1,1,81.11,4,SAME
4,87.75,45.96,2,0,87.09,2,HARDER
3,76.19,20.78,2,2,79.0,1,SAME
7,60.06,166.0,2,2,60.12,5,SAME
7,31.3,203.42,5,5,26.96,5,SAME
3,87.57,22.24,1,0,88.64,1,HARDER
3,89.07,15.83,1,0,89.42,1,HARDER
6,47.95,38.44,4,4,47.61,4,EASIER
3,91.49,37.74,1,0,98.0,1,SAME
6,75.67,45.41,2,1,74.8,4,SAME
7,36.2,137.17,5,5,28.25,5,EASIER
6,42.73,122.85,4,3,37.33,4,EASIER
4,51.04,30.02,5,4,46.05,2,EASIER
3,84.55,23.22,2,1,79.57,1,SAME
6,53.31,137.86,2,3,43.48,4,EASIER
3,70.44,17.45,1,2,66.34,1,SAME
5,89.61,36.97,1,0,88.09,3,HARDER
5,75.6,51.65,1,2,70.7,3,SAME
6,40.83,159.37,4,3,36.94,4,EASIER
4,95.4,81.01,1,1,96.73,2,EASIER
6,43.36,77.89,4,3,40.17,4,EASIER
6,74.69,56.62,1,1,75.51,4,SAME
4,81.98,62.66,1,0,81.49,2,SAME
4,87.79,17.34,1,1,87.03,2,HARDER
3,83.2,27.91,1,0,86.95,1,SAME
5,86.94,56.75,1,0,84.05,3,HARDER
4,100.0,69.8,1,1,99.04,2,SAME
3,70.97,46.51,2,2,68.61,1,SAME
5,78.35,36.38,2,1,75.79,3,SAME
5,77.92,63.02,1,0,78.43,3,SAME
3,94.05,19.39,1,0,96.74,1,HARDER
3,95.1,21.94,1,0,92.63,1,HARDER
3,61.58,32.9,3,3,59.87,1,EASIER
6,40.3,68.89,4,5,35.05,4,EASIER
4,81.03,41.63,1,1,74.01,2,SAME
3,100.0,38.28,1,0,97.27,1,SAME
3,84.73,49.06,1,0,87.12,1,SAME
7,45.62,131.08,4,4,44.63,5,EASIER
4,84.44,40.16,1,1,83.71,2,SAME
6,56.75,46.11,3,2,53.9,4,SAME
5,73.14,127.16,1,1,71.2,3,EASIER
3,73.55,31.17,2,2,72.91,1,SAME
4,82.1,40.51,1,1,78.2,2,SAME
3,85.42,25.96,1,1,85.63,1,HARDER
6,68.02,98.91,1,2,63.97,4,SAME
4,68.21,54.62,2,2,60.58,2,SAME
5,80.39,90.35,3,0,78.15,3,SAME
3,69.13,51.2,1,2,64.89,1,EASIER
7,36.31,127.84,2,3,28.96,5,EASIER
4,77.8,86.67,2,0,83.34,2,EASIER
5,82.87,97.91,1,1,80.4,3,SAME
7,66.67,108.39,3,2,60.29,5,SAME
6,46.12,34.46,4,4,43.6,4,HARDER
6,69.75,85.73,1,1,64.92,4,SAME
7,35.52,261.88,4,4,25.01,5,EASIER
3,91.41,17.71,3,1,94.38,1,SAME
7,20.17,117.15,5,4,12.44,5,EASIER
5,78.73,62.94,1,1,79.85,3,HARDER
5,60.29,92.46,4,4,59.23,3,EASIER
4,80.33,31.67,1,2,72.46,2,SAME
6,67.77,52.18,2,2,62.23,4,SAME
7,39.0,152.8,3,4,32.78,5,EASIER
6,83.43,55.71,1,0,87.03,4,SAME
3,70.6,11.05,1,2,69.45,1,SAME
5,46.24,144.23,4,4,40.98,3,EASIER
6,72.19,132.79,1,2,70.83,4,SAME
4,69.5,92.09,2,1,65.96,2,SAME
6,54.62,129.18,4,3,52.08,4,EASIER
6,67.98,116.81,1,2,64.47,4,SAME
3,78.96,29.47,3,2,77.85,1,SAME
5,55.21,52.9,5,3,49.02,3,EASIER
3,88.91,31.4,1,1,87.48,1,HARDER
5,51.79,44.11,2,3,44.79,3,EASIER
4,100.0,22.99,1,0,100.0,2,HARDER
7,50.04,93.45,5,4,43.22,5,EASIER
7,61.81,226.41,1,2,57.43,5,EASIER
5,66.01,31.51,2,2,63.2,3,SAME
5,74.92,31.76,2,1,68.05,3,SAME
6,34.65,111.52,3,3,33.3,4,EASIER
6,38.81,66.08,3,4,29.5,4,EASIER
6,94.63,105.55,1,0,92.81,4,HARDER
6,37.95,137.2,3,3,31.35,4,EASIER
7,36.1,144.03,4,3,26.0,5,EASIER
7,50.59,79.35,3,3,48.69,5,EASIER
3,85.25,44.25,2,1,83.92,1,SAME
5,74.93,83.75,1,0,75.11,3,SAME
5,72.87,58.78,1,1,77.11,3,SAME
5,75.88,57.38,1,2,70.99,3,SAME
5,88.56,69.8,1,1,81.76,3,HARDER
6,77.02,69.72,1,1,76.92,4,SAME
5,84.5,25.87,1,0,86.35,3,SAME
4,61.39,54.06,1,2,51.55,2,SAME
5,73.9,81.64,2,1,67.59,3,SAME
7,50.4,31.96,3,2,49.14,5,EASIER
4,62.19,48.31,3,2,58.71,2,SAME
3,100.0,54.63,1,1,100.0,1,EASIER
7,39.85,60.58,2,2,37.07,5,EASIER
3,89.62,24.2,1,2,87.48,1,SAME
6,69.0,74.6,3,1,68.85,4,SAME
7,37.53,276.84,3,4,31.81,5,EASIER
4,60.31,64.36,1,2,56.44,2,SAME
4,99.85,25.15,1,0,97.73,2,HARDER
4,64.75,44.63,1,2,64.66,2,SAME
3,73.26,69.66,1,2,76.07,1,EASIER
3,100.0,18.93,1,0,100.0,1,HARDER
3,72.4,24.88,2,2,67.17,1,SAME
5,72.84,74.79,1,1,68.19,3,SAME
5,45.28,42.88,4,4,35.11,3,EASIER
3,88.41,54.79,1,1,86.52,1,EASIER
7,69.17,86.56,2,2,66.44,5,SAME
6,24.64,39.82,5,4,17.28,4,EASIER
3,92.67,19.79,1,1,94.14,1,HARDER
7,19.23,159.88,4,4,12.63,5,EASIER
3,100.0,17.53,1,0,99.85,1,HARDER
5,59.11,67.36,2,3,51.86,3,EASIER
5,60.69,76.62,4,4,56.92,3,EASIER
5,80.22,31.88,1,0,79.02,3,SAME
7,64.49,82.37,1,1,55.37,5,SAME
7,49.29,135.46,2,2,49.33,5,EASIER
4,67.75,52.86,1,2,60.84,2,SAME
5,86.21,44.42,2,2,79.39,3,SAME
7,30.85,121.66,4,4,20.55,5,EASIER
6,68.7,70.74,1,1,68.54,4,SAME
7,40.83,166.53,3,3,32.93,5,EASIER
5,72.45,75.0,3,2,70.09,3,SAME
4,95.02,31.88,3,1,92.9,2,SAME
5,40.26,73.5,5,5,33.56,3,EASIER
7,43.53,89.45,4,4,42.01,5,EASIER
7,72.29,143.7,1,1,74.59,5,SAME
6,82.82,104.77,1,2,79.67,4,SAME
6,38.34,281.37,3,2,41.93,4,EASIER
5,75.71,49.11,1,0,74.78,3,SAME
4,98.12,35.56,1,0,94.54,2,HARDER
5,35.7,42.1,4,4,25.64,3,EASIER
5,80.03,34.79,2,1,80.12,3,SAME
7,47.21,87.33,2,4,37.57,5,EASIER
5,69.83,80.61,2,2,68.02,3,SAME
6,67.62,120.33,1,1,68.45,4,SAME
3,83.04,28.52,1,1,82.18,1,SAME
6,45.42,70.31,5,3,41.05,4,EASIER
5,73.06,45.43,1,2,70.29,3,SAME
7,60.13,67.95,3,2,55.88,5,SAME
5,68.57,44.03,1,1,70.48,3,SAME
5,65.49,30.55,1,2,64.16,3,SAME
3,89.56,45.75,1,0,86.7,1,SAME
7,47.16,300.0,1,3,35.67,5,EASIER
6,72.62,29.97,3,2,74.49,4,SAME
7,61.19,131.12,1,2,60.89,5,SAME
3,89.73,28.23,1,1,91.12,1,HARDER
4,63.39,41.92,2,2,56.51,2,SAME
7,58.12,81.08,2,2,52.09,5,SAME
3,76.28,39.41,1,1,76.72,1,SAME
5,73.89,71.07,1,1,71.49,3,SAME
5,63.81,96.77,1,2,60.34,3,SAME
7,61.65,74.93,2,3,61.07,5,EASIER
7,54.8,52.7,2,2,52.06,5,EASIER
7,66.26,141.96,2,2,63.91,5,SAME
4,72.96,24.17,1,2,72.82,2,SAME
5,74.23,97.76,1,1,69.82,3,SAME
6,57.36,27.14,3,3,53.68,4,EASIER
7,61.31,86.76,1,2,64.15,5,SAME
3,100.0,19.01,1,1,100.0,1,HARDER
7,34.11,93.44,5,4,26.89,5,EASIER
4,65.0,42.96,2,2,62.58,2,SAME
3,93.9,29.82,1,0,91.72,1,HARDER
6,79.97,114.36,2,1,78.06,4,SAME
6,31.2,121.43,5,5,22.12,4,EASIER
3,82.09,23.16,2,1,80.14,1,SAME
3,88.99,63.9,1,0,91.6,1,EASIER
7,49.07,238.52,3,2,43.67,5,EASIER
7,43.11,94.49,5,5,39.11,5,EASIER
3,91.22,23.52,1,0,96.45,1,HARDER
7,44.26,93.41,3,3,35.22,5,EASIER
7,48.74,136.52,2,2,46.2,5,EASIER
7,61.16,65.94,2,2,58.63,5,SAME
4,76.05,26.22,1,1,76.56,2,SAME
5,47.71,19.84,3,2,45.06,3,EASIER
7,60.41,90.13,1,2,57.14,5,SAME
7,36.17,200.1,3,3,36.77,5,EASIER
6,37.73,75.76,5,5,34.29,4,SAME
3,95.81,23.95,1,0,94.91,1,HARDER
3,90.7,28.29,1,0,91.21,1,HARDER
4,81.38,23.73,1,1,81.7,2,SAME
3,76.87,25.28,1,1,71.59,1,SAME
3,84.55,37.15,1,1,85.51,1,SAME
3,64.86,28.65,2,2,57.34,1,SAME
6,43.08,136.37,3,3,41.26,4,EASIER
5,64.07,108.44,1,2,59.85,3,SAME
5,68.28,80.51,2,2,62.19,3,SAME
7,56.59,75.92,2,3,52.98,5,EASIER
5,74.2,48.92,1,1,73.26,3,HARDER
5,29.0,150.89,5,4,17.45,3,EASIER
4,64.54,44.05,1,2,56.04,2,SAME
5,91.38,63.44,1,1,89.32,3,HARDER
3,80.67,17.05,1,1,73.53,1,SAME
5,66.81,55.43,2,2,62.26,3,SAME
7,39.4,165.49,3,4,35.89,5,EASIER
5,86.43,58.43,1,0,87.77,3,HARDER
4,87.2,29.77,1,0,85.57,2,HARDER
6,48.11,70.62,3,4,40.86,4,EASIER
7,60.47,214.44,1,2,58.88,5,SAME
5,60.3,80.72,1,2,55.38,3,SAME
4,54.02,48.84,5,3,44.24,2,EASIER
6,21.27,103.13,3,4,13.26,4,EASIER
3,93.45,14.77,1,1,93.2,1,HARDER
7,56.89,129.92,1,3,48.26,5,EASIER
4,79.53,62.77,1,2,79.44,2,SAME
4,90.29,33.61,2,1,86.6,2,HARDER
6,57.4,136.32,1,1,61.95,4,SAME
3,74.68,31.86,2,1,71.84,1,SAME
4,66.18,56.07,1,1,68.44,2,SAME
3,90.48,25.57,1,2,87.52,1,SAME
4,74.67,57.64,2,1,68.71,2,SAME
5,71.01,28.09,3,2,68.67,3,SAME
3,82.58,25.37,2,1,76.96,1,SAME
4,86.47,53.13,1,1,80.38,2,SAME
6,67.64,95.66,2,1,68.51,4,SAME
7,59.66,203.49,1,1,59.25,5,SAME
3,88.56,23.31,1,0,86.53,1,HARDER
6,68.91,61.69,2,1,66.98,4,SAME
3,97.1,12.06,1,0,96.1,1,HARDER
5,74.03,50.67,3,2,69.12,3,SAME
7,57.16,148.44,5,4,49.36,5,EASIER
6,41.83,121.81,3,3,36.84,4,EASIER
4,75.69,19.69,3,1,73.32,2,SAME
4,81.58,66.02,1,1,79.2,2,SAME
6,51.21,49.4,4,4,45.83,4,EASIER
7,64.33,104.84,2,1,66.34,5,SAME
4,86.44,29.09,1,0,90.4,2,HARDER
3,77.87,30.1,1,1,78.56,1,SAME
5,64.04,60.76,2,2,62.7,3,HARDER
6,59.53,116.66,3,2,55.07,4,SAME
5,61.55,144.48,1,2,55.62,3,EASIER
7,27.71,139.12,4,4,21.23,5,EASIER
7,31.66,81.79,5,5,24.91,5,EASIER
6,45.32,104.22,2,3,39.02,4,EASIER
3,78.86,59.41,1,0,74.19,1,EASIER
7,59.47,160.16,4,3,58.55,5,EASIER
6,59.82,134.09,1,1,57.85,4,SAME
4,88.21,17.97,1,0,91.55,2,HARDER
5,66.94,70.24,1,2,63.53,3,SAME
7,62.92,96.78,2,2,62.85,5,SAME
7,60.11,77.31,1,2,58.47,5,SAME
5,85.69,57.36,1,1,87.45,3,HARDER
3,86.35,26.24,1,1,86.94,1,HARDER
6,50.85,59.27,3,2,47.39,4,EASIER
6,46.65,90.44,4,2,43.63,4,EASIER
3,83.05,23.14,2,1,86.7,1,SAME
7,61.33,164.24,1,2,57.49,5,SAME
4,62.01,42.29,3,3,58.84,2,EASIER
7,37.08,137.47,3,4,32.64,5,EASIER
5,58.56,94.18,1,3,56.12,3,EASIER
4,76.63,49.32,1,2,73.05,2,SAME
3,71.39,24.93,1,1,73.0,1,SAME
3,75.92,9.88,1,2,73.08,1,SAME
6,44.32,107.11,4,3,34.68,4,EASIER
4,90.43,24.75,1,0,90.66,2,HARDER
7,59.28,106.86,1,1,58.84,5,SAME
4,98.33,45.24,2,0,97.39,2,HARDER
7,35.77,231.6,4,4,29.83,5,EASIER
7,36.2,300.0,3,3,32.09,5,EASIER
3,77.55,16.59,1,1,79.35,1,SAME
6,55.4,41.37,4,3,52.16,4,EASIER
7,67.6,133.76,1,1,70.92,5,SAME
4,66.21,42.59,2,1,61.96,2,SAME
3,69.43,14.64,4,3,62.92,1,EASIER
7,58.83,110.99,4,4,54.78,5,EASIER
5,78.28,77.96,1,1,78.75,3,SAME
3,85.35,14.46,3,1,86.71,1,SAME
7,59.28,65.13,1,3,53.82,5,EASIER
6,43.69,58.66,2,3,36.75,4,EASIER
3,88.29,22.75,2,1,85.86,1,HARDER
4,81.09,52.65,1,2,71.15,2,SAME
3,92.65,21.62,1,0,95.36,1,HARDER
7,49.25,115.43,3,3,43.02,5,EASIER
3,77.92,67.93,1,0,75.37,1,EASIER
6,63.7,49.87,2,2,61.1,4,SAME
5,56.02,41.98,3,2,57.0,3,SAME
5,56.82,81.13,2,2,55.64,3,SAME
7,37.22,191.9,5,5,28.87,5,EASIER
7,23.43,140.41,5,5,17.77,5,EASIER
3,71.9,55.92,3,2,70.25,1,EASIER
3,79.92,28.79,1,1,83.27,1,SAME
3,100.0,10.38,1,0,100.0,1,HARDER
6,61.05,86.24,3,3,55.6,4,EASIER
5,45.06,43.72,4,4,39.19,3,EASIER
3,81.36,46.28,2,2,79.0,1,SAME
4,75.52,59.8,2,1,68.32,2,SAME
5,64.18,26.4,3,1,53.55,3,SAME
6,49.52,165.49,2,3,45.43,4,EASIER
4,74.91,59.09,1,2,74.25,2,SAME
7,79.27,93.85,1,1,86.12,5,SAME
7,39.14,107.31,3,3,34.23,5,EASIER
6,44.55,169.13,2,3,39.29,4,EASIER
5,56.92,21.86,1,1,59.03,3,SAME
7,50.75,142.77,2,2,44.6,5,EASIER
6,43.79,144.79,2,3,44.94,4,EASIER
5,94.18,55.51,2,1,89.96,3,HARDER
5,46.27,79.93,3,3,43.06,3,EASIER
7,26.02,118.48,5,5,18.84,5,EASIER
5,100.0,39.34,1,0,96.04,3,HARDER
3,100.0,17.44,1,0,98.78,1,HARDER
7,31.65,165.09,2,3,24.18,5,EASIER
3,90.12,18.84,1,1,87.18,1,HARDER
6,58.6,37.11,3,2,58.93,4,SAME
6,44.71,87.39,3,3,34.65,4,EASIER
5,83.74,44.99,1,0,77.66,3,HARDER
3,74.32,14.66,1,2,71.03,1,SAME
5,37.0,60.1,4,4,27.15,3,EASIER
7,68.75,170.15,1,2,68.0,5,SAME
4,69.19,38.36,4,3,64.61,2,EASIER
6,90.18,47.1,1,0,92.9,4,HARDER
7,52.05,145.63,2,3,42.15,5,EASIER
7,66.27,196.89,2,2,63.85,5,SAME
5,61.5,173.45,1,2,66.45,3,EASIER
4,93.58,74.83,1,0,95.62,2,SAME
6,90.42,48.62,1,0,92.31,4,HARDER
5,64.37,88.69,1,2,64.36,3,SAME
6,42.27,93.7,2,4,34.71,4,EASIER
6,72.33,45.04,1,1,69.43,4,SAME
6,71.02,95.04,1,2,64.33,4,SAME
4,70.7,93.63,2,1,69.78,2,EASIER
6,60.88,152.71,3,2,65.69,4,SAME
5,57.54,35.12,2,2,56.48,3,SAME
7,47.49,112.84,3,2,39.81,5,EASIER
6,38.48,105.89,4,3,32.03,4,EASIER
7,80.83,43.63,1,1,81.45,5,SAME
7,50.42,44.46,4,3,46.76,5,EASIER
7,47.32,121.85,2,3,42.26,5,EASIER
6,41.8,89.47,5,5,32.05,4,HARDER
5,75.0,23.34,1,2,68.57,3,SAME
3,54.03,29.71,4,4,43.79,1,EASIER
4,85.36,63.34,3,1,88.35,2,SAME
5,72.19,52.06,1,1,71.46,3,SAME
6,96.67,84.59,2,0,99.8,4,HARDER
5,75.8,76.96,1,1,74.83,3,SAME
5,89.55,72.08,1,1,88.68,3,HARDER
3,90.27,11.9,1,1,88.29,1,HARDER
6,66.34,51.22,2,2,62.18,4,SAME
5,65.38,47.68,2,2,58.63,3,SAME
3,70.2,17.04,1,2,65.07,1,SAME
4,99.32,75.72,1,0,94.36,2,SAME
7,52.54,158.27,1,2,46.05,5,EASIER
3,100.0,15.26,1,0,100.0,1,HARDER
5,92.99,52.16,2,1,90.14,3,HARDER
5,66.27,101.49,1,1,64.53,3,SAME
3,73.69,18.75,2,1,75.81,1,SAME
3,75.65,36.52,2,2,74.77,1,SAME
7,3.89,238.01,5,6,0.0,5,EASIER
5,76.95,105.89,1,1,71.55,3,SAME
4,97.96,41.36,1,0,94.57,2,HARDER
3,78.08,43.62,1,1,74.58,1,SAME
5,82.15,44.79,1,1,78.37,3,SAME
6,22.16,298.68,5,5,8.5,4,EASIER
6,52.69,92.94,3,2,54.26,4,EASIER
3,67.44,41.65,4,2,65.14,1,EASIER
6,45.64,67.93,5,4,41.44,4,EASIER
7,46.16,147.04,2,3,40.55,5,EASIER
4,83.23,49.06,1,1,82.6,2,SAME
3,83.37,16.54,1,0,83.05,1,SAME
7,43.39,66.43,4,3,41.94,5,EASIER
5,59.88,52.42,2,2,59.06,3,SAME
6,74.89,145.69,1,1,72.6,4,SAME
4,59.15,16.07,4,2,51.89,2,EASIER
4,56.24,32.04,3,2,49.61,2,EASIER
4,58.04,70.33,4,4,50.49,2,EASIER
4,83.17,21.3,1,0,83.45,2,SAME
5,53.61,107.89,3,2,47.03,3,EASIER
3,65.26,15.13,2,2,61.37,1,SAME
7,61.56,67.96,1,2,61.52,5,SAME
5,78.77,53.92,1,1,79.85,3,SAME
7,52.6,300.0,1,2,48.5,5,EASIER
5,88.14,42.25,1,1,86.59,3,HARDER
4,82.5,16.83,2,1,84.58,2,EASIER
5,59.62,28.98,4,3,59.3,3,EASIER
3,67.22,37.85,5,3,63.65,1,EASIER
7,56.76,53.53,1,2,56.33,5,SAME
6,60.66,152.09,3,3,58.84,4,EASIER
3,89.08,25.79,1,1,86.89,1,HARDER
5,74.9,57.08,1,1,71.64,3,SAME
5,41.54,67.2,4,4,38.15,3,EASIER
4,67.86,26.08,4,4,65.93,2,EASIER
3,72.58,26.58,4,2,67.76,1,EASIER
6,71.18,44.09,2,1,67.59,4,SAME
4,59.07,71.63,2,1,56.01,2,SAME
5,84.9,34.88,1,0,79.51,3,SAME
4,74.34,46.71,2,1,67.75,2,SAME
6,60.14,47.88,1,2,52.68,4,SAME
3,84.91,19.72,1,1,82.74,1,SAME
4,47.02,31.88,5,3,40.84,2,EASIER
5,64.96,253.71,1,1,61.49,3,EASIER
5,51.21,57.59,4,3,45.95,3,EASIER
6,69.09,53.49,1,1,71.64,4,SAME
3,77.86,20.51,2,1,77.03,1,SAME
5,47.61,27.54,5,5,39.8,3,EASIER
6,57.5,75.34,1,2,56.1,4,SAME
4,57.68,90.7,1,2,52.33,2,EASIER
3,100.0,29.03,2,0,99.84,1,HARDER
7,57.7,183.25,1,1,53.63,5,EASIER
6,100.0,51.09,1,1,92.85,4,HARDER
6,69.17,73.77,1,1,66.78,4,SAME
6,68.92,91.17,1,1,67.13,4,SAME
6,66.76,56.24,1,2,62.27,4,SAME
6,74.63,100.96,1,1,76.46,4,SAME
5,76.4,78.66,1,0,76.53,3,SAME
3,53.61,31.83,4,3,50.82,1,EASIER
5,65.32,53.82,1,1,59.82,3,SAME
4,68.53,63.45,1,1,70.45,2,SAME
6,50.11,71.72,4,3,46.91,4,EASIER
5,64.61,48.8,3,2,66.44,3,SAME
7,46.39,245.71,2,3,45.28,5,EASIER
5,68.99,33.53,1,1,61.78,3,SAME
5,63.53,24.96,1,2,57.02,3,SAME
7,47.38,69.79,5,3,39.62,5,EASIER
5,57.1,70.25,4,4,51.54,3,EASIER
4,87.68,69.47,1,1,89.1,2,SAME
4,94.35,27.86,1,1,92.08,2,HARDER
7,4.26,300.0,4,6,0.0,5,EASIER
6,49.4,83.17,4,3,42.1,4,EASIER
3,100.0,23.75,1,0,97.95,1,HARDER
5,35.22,38.08,5,5,28.97,3,EASIER
4,52.8,95.08,3,3,51.06,2,EASIER
6,50.13,75.84,2,3,47.2,4,EASIER
3,72.96,13.82,1,1,69.41,1,SAME
6,52.12,294.33,2,3,45.35,4,EASIER
6,49.34,100.63,4,4,41.34,4,EASIER
