current_difficulty,accuracy,response_time,total_attempts,mistakes,score,previous_score,difficulty_change
1,83.82,27.43,14,2,81.73,94.79,HARDER
1,86.51,29.19,12,1,86.64,89.47,HARDER
3,73.01,30.66,11,3,72.57,91.58,HARDER
1,62.44,24.86,14,4,67.37,81.06,SAME
1,60.04,55.21,14,3,49.06,54.53,EASIER
1,93.79,40.15,17,1,89.93,98.09,HARDER
2,95.26,33.47,14,0,95.86,100.0,HARDER
1,83.2,30.14,14,1,77.94,67.69,HARDER
1,42.04,21.94,14,7,39.63,36.07,EASIER
1,67.76,30.25,17,4,61.64,41.27,SAME
2,77.53,22.33,13,2,82.16,76.79,HARDER
3,64.09,22.18,15,5,65.87,66.71,SAME
2,43.13,34.24,13,8,39.44,36.78,EASIER
1,55.45,53.7,10,4,57.62,62.32,EASIER
2,49.9,31.39,16,8,52.2,42.69,EASIER
1,67.8,42.98,17,4,69.62,77.26,SAME
1,69.43,27.5,13,4,63.42,50.86,SAME
2,93.42,13.05,17,0,100.0,100.0,HARDER
2,73.41,27.37,13,4,75.9,72.11,SAME
3,71.69,55.21,17,6,69.41,47.83,SAME
1,85.67,22.9,16,0,88.42,70.34,HARDER
2,54.24,10.58,13,6,57.84,40.45,SAME
1,56.45,32.5,10,4,62.86,68.51,SAME
1,70.46,43.6,15,5,76.45,76.78,SAME
1,69.09,40.33,16,2,77.82,69.87,SAME
2,67.75,72.51,11,1,64.11,58.94,SAME
1,85.21,64.35,13,0,94.23,92.64,SAME
3,53.44,16.97,17,7,56.79,40.12,SAME
2,68.9,11.91,11,2,91.29,100.0,HARDER
2,90.5,49.2,16,3,93.47,100.0,HARDER
2,88.28,34.99,10,1,93.44,100.0,HARDER
2,73.71,38.98,14,5,70.28,68.67,SAME
3,27.93,29.61,11,8,30.55,12.37,EASIER
1,82.4,46.16,14,0,80.25,87.18,HARDER
2,75.84,45.21,13,3,72.73,88.01,SAME
2,64.27,48.59,17,7,58.11,66.9,EASIER
3,51.81,41.13,12,6,45.38,33.68,EASIER
2,64.12,20.67,17,4,62.39,71.51,SAME
1,100.0,52.2,14,0,100.0,94.82,HARDER
3,56.16,39.8,13,6,61.0,55.62,SAME
2,79.62,26.43,14,3,76.87,97.6,HARDER
3,96.39,19.45,10,0,100.0,100.0,HARDER
2,100.0,33.44,16,1,100.0,91.34,HARDER
1,63.54,47.21,16,5,59.33,50.68,EASIER
2,71.07,44.2,17,5,71.17,58.33,SAME
3,96.23,23.87,10,1,94.64,89.45,HARDER
2,66.28,20.92,14,5,63.32,80.13,SAME
3,68.17,22.0,10,0,71.2,65.02,HARDER
1,100.0,43.47,15,0,100.0,74.39,HARDER
1,95.38,51.65,16,0,94.24,75.87,HARDER
3,80.51,21.16,12,2,84.23,73.61,HARDER
3,62.6,23.89,14,3,65.05,78.7,HARDER
1,87.36,18.04,15,2,96.46,89.2,HARDER
1,89.49,59.33,17,2,89.36,92.83,SAME
3,75.68,11.75,13,2,78.03,67.1,HARDER
2,82.03,10.17,15,2,75.18,72.99,HARDER
1,57.11,17.4,16,7,51.21,41.13,EASIER
1,97.6,37.14,11,0,99.85,89.19,HARDER
2,69.39,26.41,12,1,70.64,51.15,SAME
3,59.73,28.33,12,6,51.89,76.04,SAME
2,72.8,33.42,15,3,68.11,63.63,SAME
2,100.0,49.02,10,0,91.4,88.06,HARDER
1,61.09,23.27,16,7,61.79,59.81,SAME
3,68.15,29.06,17,4,67.73,65.84,SAME
2,61.57,40.58,16,5,69.98,81.88,SAME
2,72.49,15.83,13,3,76.59,62.39,SAME
3,68.58,19.67,15,4,72.12,91.13,HARDER
2,68.05,30.91,12,4,73.0,78.61,SAME
3,79.77,21.86,17,3,85.19,61.98,HARDER
1,89.99,19.84,12,0,87.0,96.4,HARDER
1,79.99,35.74,10,3,85.7,100.0,HARDER
2,100.0,18.68,10,0,98.34,70.67,HARDER
3,97.48,44.09,10,0,100.0,95.29,HARDER
1,57.23,28.85,15,5,62.98,67.04,SAME
3,93.63,22.21,13,0,99.4,92.05,HARDER
3,91.35,22.13,17,2,92.57,96.52,HARDER
3,67.31,34.78,13,4,65.64,57.4,SAME
1,43.99,8.88,17,8,51.86,33.94,EASIER
1,75.39,24.12,14,1,84.02,92.72,HARDER
2,70.24,46.49,16,3,76.4,77.94,SAME
2,76.21,44.32,13,1,76.08,50.65,SAME
2,100.0,23.48,13,0,100.0,100.0,HARDER
1,34.94,37.15,17,12,37.22,25.17,EASIER
2,100.0,56.64,12,0,95.67,100.0,HARDER
2,56.94,25.29,17,7,63.33,90.17,SAME
1,88.37,50.08,10,0,91.7,100.0,HARDER
2,74.05,22.95,15,6,73.95,66.13,SAME
1,86.04,47.04,11,1,94.53,92.77,HARDER
3,82.98,24.02,17,2,76.93,84.92,HARDER
3,74.89,30.94,10,2,69.73,78.61,HARDER
1,55.15,25.61,14,6,43.73,47.44,EASIER
1,88.71,17.84,11,0,87.39,80.22,HARDER
3,88.24,27.24,13,2,90.58,75.37,HARDER
3,80.02,44.8,13,2,87.31,80.33,HARDER
1,96.64,20.11,15,2,100.0,81.44,HARDER
3,65.41,29.45,10,2,64.21,61.24,SAME
1,82.96,30.36,10,4,79.39,69.09,SAME
2,71.39,42.42,13,3,70.86,67.86,SAME
1,82.79,15.11,10,4,75.97,78.7,HARDER
1,43.1,32.45,17,11,47.65,61.0,EASIER
2,89.33,31.74,10,2,90.8,76.87,HARDER
3,44.28,59.02,10,2,53.36,27.85,EASIER
2,73.13,33.57,15,3,68.59,66.37,SAME
1,100.0,20.87,12,0,100.0,90.45,HARDER
1,61.27,57.65,13,5,59.64,80.92,EASIER
2,84.58,25.26,10,0,89.04,90.45,HARDER
1,53.95,16.19,16,7,59.66,48.58,EASIER
3,71.04,16.96,17,4,71.85,91.15,HARDER
2,68.58,28.2,13,6,66.62,78.69,SAME
2,94.52,22.11,15,1,93.19,100.0,HARDER
2,84.5,19.52,15,2,87.49,100.0,HARDER
3,100.0,16.65,17,0,89.11,85.81,HARDER
1,48.98,20.2,11,5,58.73,54.14,SAME
3,41.06,87.63,13,7,44.95,37.76,EASIER
1,45.95,49.37,11,5,39.29,21.02,EASIER
2,51.75,23.27,17,8,47.11,73.25,SAME
1,72.91,41.54,13,2,77.67,46.09,SAME
1,46.64,78.2,13,7,43.84,18.69,EASIER
3,61.32,55.02,12,5,53.98,54.11,EASIER
1,100.0,26.93,13,1,98.29,96.45,HARDER
3,77.25,46.76,16,3,71.47,82.43,SAME
3,82.71,20.6,12,4,81.84,62.1,HARDER
1,38.51,36.23,15,7,40.07,42.27,EASIER
1,80.94,24.22,17,3,83.06,85.45,HARDER
2,98.55,30.38,17,0,94.59,100.0,HARDER
3,83.94,51.82,17,3,86.1,100.0,HARDER
2,82.13,36.31,13,2,88.21,95.53,HARDER
3,75.37,18.07,13,1,79.56,76.28,HARDER
3,100.0,26.92,15,0,100.0,83.82,HARDER
1,90.0,20.88,12,0,98.67,100.0,HARDER
1,54.52,17.97,10,4,60.93,59.61,SAME
1,100.0,17.67,10,0,100.0,73.93,HARDER
1,90.96,39.24,13,1,91.33,97.55,HARDER
3,56.84,45.5,15,4,55.39,43.45,SAME
1,91.08,17.9,13,0,88.03,66.34,HARDER
1,75.73,40.01,10,4,75.49,77.94,SAME
1,100.0,58.29,14,0,100.0,100.0,HARDER
2,78.2,13.47,13,2,80.32,79.02,HARDER
2,95.65,40.76,14,1,89.5,88.02,HARDER
3,62.65,37.12,11,3,61.09,65.78,HARDER
2,56.26,39.01,14,6,60.18,40.58,EASIER
2,83.44,46.13,11,1,79.99,81.99,HARDER
2,52.59,31.09,12,6,57.29,48.69,EASIER
1,59.81,19.27,15,7,61.25,65.43,SAME
3,87.39,20.64,14,0,81.4,99.71,HARDER
3,73.74,25.25,15,3,69.19,93.13,HARDER
3,91.74,18.72,14,2,90.22,82.22,HARDER
2,63.7,23.58,10,2,56.14,71.98,SAME
1,79.4,47.88,10,1,77.62,62.3,SAME
1,43.12,30.22,13,8,38.9,31.85,EASIER
1,56.76,18.29,17,6,66.77,55.49,SAME
2,91.29,41.59,15,1,93.09,100.0,HARDER
1,76.1,26.07,15,2,64.11,86.24,HARDER
1,66.21,13.87,14,4,68.38,86.66,SAME
2,67.99,41.7,17,6,64.99,48.94,EASIER
2,80.11,18.17,17,2,84.11,93.77,HARDER
1,59.95,14.54,14,6,63.27,79.92,SAME
1,72.99,27.45,17,2,75.24,67.37,EASIER
2,52.99,30.73,10,3,48.8,54.95,SAME
1,75.17,60.99,13,2,77.64,100.0,SAME
2,82.83,68.03,12,4,88.05,88.72,SAME
1,67.13,22.14,17,4,70.39,80.63,SAME
1,55.29,16.99,14,5,52.46,43.19,SAME
2,90.22,12.38,11,0,86.78,80.89,HARDER
1,68.96,31.68,15,6,76.48,64.51,SAME
3,88.64,20.13,15,1,89.01,95.31,HARDER
2,67.71,51.68,17,6,67.85,46.72,EASIER
2,66.0,78.62,15,5,63.53,51.88,EASIER
1,63.75,48.98,13,2,67.4,83.37,SAME
3,83.13,16.34,13,2,87.26,74.68,HARDER
2,69.76,26.03,11,1,73.04,53.65,SAME
1,57.7,59.21,10,4,54.83,31.02,EASIER
1,73.63,43.96,10,3,80.06,75.79,SAME
2,78.09,48.78,11,1,78.01,73.26,SAME
2,90.63,30.66,17,2,94.3,100.0,HARDER
2,79.22,36.5,17,4,77.28,65.88,SAME
2,86.14,41.53,15,3,87.21,86.13,HARDER
1,49.23,21.73,15,8,50.57,65.54,EASIER
3,88.76,32.48,12,3,89.77,75.29,HARDER
1,64.39,32.43,14,7,65.01,30.51,EASIER
1,50.37,32.33,15,8,55.0,76.35,EASIER
2,96.38,51.13,10,1,94.14,100.0,HARDER
3,87.38,20.91,13,1,87.86,93.68,HARDER
1,100.0,16.12,14,0,100.0,100.0,HARDER
3,82.89,15.04,12,2,79.2,90.05,HARDER
2,91.1,18.4,15,2,90.83,86.34,HARDER
1,83.94,44.09,11,1,87.6,92.8,HARDER
1,87.54,24.76,10,0,83.75,87.91,HARDER
1,89.55,79.12,11,0,95.89,90.75,SAME
1,68.51,31.83,16,6,69.42,69.9,SAME
1,97.26,34.97,16,1,100.0,100.0,HARDER
1,83.82,14.66,16,3,79.03,89.79,HARDER
3,90.51,17.65,15,3,98.41,96.42,HARDER
1,48.35,22.54,16,11,51.85,62.71,EASIER
1,72.28,50.56,12,5,78.64,59.77,EASIER
1,80.99,48.19,17,5,74.57,88.47,SAME
2,94.04,10.04,16,1,97.29,96.71,HARDER
1,97.54,61.41,16,0,92.79,82.75,HARDER
3,75.64,21.7,12,3,73.8,100.0,HARDER
3,93.47,30.96,11,2,95.33,100.0,HARDER
2,100.0,53.82,10,0,100.0,100.0,HARDER
2,82.1,30.43,11,2,93.65,86.91,HARDER
1,81.05,42.42,17,2,83.46,68.85,SAME
1,66.82,18.54,10,4,75.98,80.66,SAME
2,71.01,35.83,10,2,66.85,80.08,SAME
1,85.19,23.8,16,1,80.98,85.57,HARDER
1,59.14,12.97,16,6,61.57,57.19,SAME
1,88.56,52.67,13,0,84.81,95.16,HARDER
2,62.82,60.13,10,2,65.97,65.09,SAME
2,41.85,12.28,14,8,46.57,70.76,SAME
1,62.81,41.67,13,4,64.22,64.95,SAME
1,83.6,17.61,10,2,81.87,80.76,HARDER
3,70.07,48.61,10,2,61.27,56.99,SAME
2,66.49,21.4,11,4,64.03,56.15,SAME
1,82.89,12.79,12,2,70.97,88.04,HARDER
3,44.17,24.13,11,7,37.63,58.84,SAME
1,70.18,31.04,14,4,71.95,81.83,SAME
3,70.88,36.32,10,4,76.31,77.57,SAME
3,80.13,24.92,15,2,80.34,83.4,HARDER
2,82.76,17.44,11,0,88.71,67.57,HARDER
3,98.68,20.0,16,0,98.44,100.0,HARDER
2,100.0,23.47,16,0,92.14,89.57,HARDER
1,100.0,20.89,15,0,92.95,67.5,HARDER
2,49.04,28.21,14,8,52.21,62.08,EASIER
1,77.67,28.91,13,1,82.1,89.05,HARDER
2,80.11,19.08,12,2,82.67,62.32,HARDER
1,70.77,39.94,14,3,65.67,71.28,SAME
2,52.99,29.04,15,5,55.01,56.83,SAME
3,90.15,41.71,16,1,93.54,90.5,HARDER
2,54.7,26.92,12,5,54.8,46.9,SAME
1,65.43,35.65,13,4,61.15,68.03,SAME
2,68.48,16.56,10,4,70.05,46.5,SAME
2,68.48,14.87,16,4,77.43,81.87,HARDER
2,77.88,35.25,17,3,81.01,91.02,HARDER
1,67.02,18.57,14,5,70.78,69.99,SAME
2,48.47,38.51,16,9,42.97,64.91,EASIER
1,86.96,27.42,17,3,87.93,99.84,HARDER
1,78.84,33.67,17,4,79.7,61.33,SAME
3,100.0,24.66,14,0,100.0,83.44,HARDER
3,89.16,27.68,14,1,87.06,62.24,HARDER
3,100.0,23.73,10,0,98.88,95.93,HARDER
2,88.65,18.14,16,3,83.98,71.88,HARDER
1,53.6,75.68,16,9,50.47,50.31,EASIER
2,71.05,79.96,13,3,70.81,79.07,SAME
1,73.8,24.33,16,5,63.84,59.52,SAME
1,99.9,23.83,11,1,100.0,100.0,HARDER
1,36.16,42.92,10,8,40.45,43.27,EASIER
1,100.0,61.61,15,0,100.0,93.14,HARDER
1,72.13,78.4,11,2,75.62,88.36,SAME
1,73.84,36.27,10,2,62.86,54.25,SAME
1,73.48,43.31,16,3,69.2,64.4,SAME
1,81.89,21.54,16,2,79.72,93.69,HARDER
2,38.71,34.58,10,5,34.01,28.2,EASIER
3,81.56,28.95,13,2,89.46,100.0,HARDER
2,70.01,33.3,16,4,65.66,65.07,SAME
2,100.0,43.42,11,0,98.49,100.0,HARDER
3,72.62,31.17,13,3,66.05,40.66,SAME
3,67.18,25.52,11,2,62.16,52.17,SAME
2,75.32,43.74,14,2,74.21,92.74,HARDER
1,43.24,13.93,13,7,50.32,63.08,EASIER
1,84.66,63.17,16,1,86.79,82.36,SAME
1,59.32,44.29,16,6,49.79,55.11,EASIER
1,50.09,52.08,14,6,52.67,56.73,EASIER
3,78.59,38.23,16,3,71.48,41.92,SAME
2,62.0,23.12,14,3,54.38,43.66,SAME
2,62.79,48.52,12,4,65.11,79.94,SAME
1,85.41,14.34,15,1,90.68,80.35,HARDER
2,94.53,39.77,14,0,98.78,85.78,HARDER
2,96.95,22.13,15,0,100.0,100.0,HARDER
1,46.72,46.26,14,8,50.85,55.16,EASIER
3,82.87,24.54,16,3,90.51,100.0,HARDER
2,70.32,53.94,10,4,78.02,91.68,SAME
1,65.58,53.68,17,7,53.47,54.78,EASIER
1,58.43,37.88,16,7,69.42,82.37,EASIER
3,43.83,39.6,10,5,43.85,53.26,EASIER
1,89.95,33.01,15,2,92.73,100.0,HARDER
1,55.48,29.93,11,3,61.34,76.07,SAME
3,99.33,16.27,16,0,95.64,100.0,HARDER
3,59.19,71.43,14,3,49.2,40.25,EASIER
1,92.05,46.85,13,0,100.0,100.0,HARDER
2,67.82,35.92,14,4,72.24,61.64,SAME
2,48.36,28.52,14,6,44.02,9.81,EASIER
1,44.07,24.26,17,10,36.82,34.16,EASIER
2,63.46,9.39,14,7,64.11,67.33,SAME
2,60.38,32.99,16,6,59.39,44.6,EASIER
1,56.76,56.92,13,4,59.37,54.1,EASIER
2,52.21,27.01,15,5,49.9,71.86,SAME
3,86.63,29.44,12,0,73.49,71.05,HARDER
1,76.14,33.45,15,4,73.2,70.57,SAME
1,89.03,44.4,11,2,96.33,98.32,HARDER
3,85.59,31.41,15,3,88.0,79.37,HARDER
1,69.26,32.47,15,4,77.0,99.3,SAME
1,100.0,110.17,10,0,94.14,100.0,SAME
3,100.0,65.15,10,0,92.52,88.73,HARDER
3,63.26,23.61,14,3,65.93,55.09,SAME
3,88.0,16.75,11,0,89.1,87.4,HARDER
3,97.43,34.5,16,0,100.0,100.0,HARDER
3,65.16,29.22,11,5,74.3,63.6,SAME
2,98.12,24.39,16,1,100.0,87.08,HARDER
3,52.55,17.13,13,7,60.99,51.9,SAME
3,72.73,34.75,11,2,69.25,79.84,HARDER
3,89.85,22.25,11,2,89.46,100.0,HARDER
1,63.02,40.9,12,5,58.6,76.86,SAME
1,84.2,25.45,10,1,90.3,100.0,HARDER
2,77.7,39.24,14,6,83.07,100.0,SAME
2,55.88,27.8,14,6,65.85,55.74,SAME
1,100.0,24.52,15,0,100.0,73.67,HARDER
3,81.59,29.36,15,4,80.98,68.7,HARDER
3,100.0,38.02,14,0,100.0,100.0,HARDER
2,61.0,23.4,12,2,53.87,46.65,SAME
2,74.94,32.46,16,5,72.89,62.54,SAME
1,80.91,27.24,10,0,85.46,74.64,HARDER
3,51.02,35.89,11,7,52.56,62.32,EASIER
3,100.0,13.03,17,0,95.95,76.14,HARDER
1,100.0,31.0,14,0,95.48,95.2,HARDER
1,100.0,42.39,12,0,96.22,100.0,HARDER
2,96.04,30.75,12,0,90.96,81.85,HARDER
2,63.1,31.82,17,5,66.57,54.91,SAME
1,78.62,29.13,12,2,87.25,88.73,HARDER
1,64.9,17.59,17,7,62.13,73.07,SAME
3,50.08,27.32,15,8,59.71,61.96,EASIER
3,57.15,28.61,16,6,62.09,75.65,SAME
3,93.28,11.75,13,0,91.47,91.63,HARDER
2,100.0,30.89,15,0,100.0,100.0,HARDER
1,90.46,38.3,15,2,81.99,100.0,HARDER
1,79.15,68.88,17,4,81.06,93.39,SAME
2,64.86,86.76,14,3,63.47,70.57,EASIER
3,69.66,30.33,11,1,71.36,74.26,HARDER
3,76.0,40.46,12,0,76.28,82.36,HARDER
1,76.98,29.99,11,2,76.97,90.91,HARDER
3,57.0,51.78,11,1,53.3,38.64,SAME
2,41.49,50.51,15,7,45.02,58.19,EASIER
1,70.84,29.7,13,3,78.3,81.73,SAME
3,94.71,32.23,17,0,93.5,100.0,HARDER
1,30.65,12.74,14,12,24.54,24.05,EASIER
1,65.9,22.12,10,4,71.13,76.61,SAME
2,66.15,54.99,17,4,65.4,58.86,SAME
1,66.0,17.42,15,5,64.16,44.69,SAME
2,45.98,52.1,12,6,41.02,28.11,EASIER
1,77.22,23.2,13,1,77.8,63.31,SAME
2,72.33,31.81,10,3,77.56,58.81,SAME
1,85.84,92.68,11,1,86.62,100.0,SAME
3,84.59,54.39,12,0,84.41,89.7,HARDER
3,86.7,36.64,12,1,80.95,96.43,SAME
3,75.24,31.34,10,1,80.8,82.89,HARDER
2,78.48,49.81,12,1,77.27,87.19,HARDER
1,64.31,25.07,11,3,62.26,52.18,SAME
2,41.85,29.54,13,10,47.25,49.69,EASIER
1,43.37,42.28,11,5,44.51,18.97,EASIER
1,59.0,16.24,10,5,61.7,55.36,SAME
1,60.43,20.76,16,6,51.12,40.64,EASIER
1,58.38,32.52,16,6,62.16,53.57,EASIER
2,77.91,21.03,16,5,81.42,95.76,HARDER
2,56.62,22.38,12,6,53.46,56.79,SAME
3,66.11,42.16,14,3,70.1,49.88,SAME
2,76.79,24.6,14,3,72.71,77.9,HARDER
2,61.73,19.45,13,4,63.89,75.87,SAME
1,62.48,53.54,15,6,56.12,62.2,EASIER
1,83.2,27.82,16,1,78.75,74.61,HARDER
3,55.4,35.29,16,8,58.84,70.79,EASIER
2,77.55,51.8,15,3,83.88,87.88,SAME
1,80.27,23.04,11,1,78.41,64.26,HARDER
2,68.03,26.33,13,3,61.01,77.09,SAME
3,76.7,20.01,17,3,76.68,100.0,HARDER
2,100.0,37.85,16,0,100.0,86.6,HARDER
2,73.2,39.74,11,1,73.45,92.38,HARDER
1,91.66,28.91,13,0,90.4,87.87,HARDER
1,100.0,14.59,15,0,100.0,100.0,HARDER
2,59.35,25.93,14,5,57.86,78.63,SAME
3,94.54,102.59,14,0,91.28,100.0,SAME
1,70.1,22.68,16,3,63.29,65.39,SAME
3,67.58,17.36,13,3,65.87,82.55,HARDER
1,77.07,9.82,13,3,72.94,64.76,HARDER
1,77.21,47.89,10,1,81.16,88.01,SAME
2,56.52,23.87,15,8,52.55,57.47,EASIER
3,36.74,25.15,16,10,41.39,28.17,EASIER
3,95.23,17.82,16,2,92.58,62.78,HARDER
2,66.61,29.96,16,5,66.24,55.18,SAME
1,58.77,21.23,10,1,60.79,53.92,SAME
1,72.55,52.86,15,4,68.26,74.76,SAME
2,74.94,12.11,15,3,72.42,66.95,HARDER
1,80.32,33.95,14,1,77.57,76.36,HARDER
1,52.33,35.23,10,3,57.45,60.54,SAME
1,93.94,25.47,17,0,90.08,88.59,HARDER
1,73.25,19.21,11,4,72.75,80.67,SAME
2,43.09,31.63,17,10,49.99,54.4,EASIER
1,85.67,21.39,10,0,88.37,91.89,HARDER
1,76.25,33.27,15,2,79.49,78.78,SAME
3,83.29,14.72,17,5,85.53,100.0,HARDER
2,46.02,27.16,11,7,56.88,51.58,EASIER
2,94.93,53.99,11,4,91.41,96.53,SAME
2,43.35,34.22,17,9,34.29,12.86,EASIER
2,84.05,30.15,12,0,83.41,46.53,HARDER
2,81.78,63.13,10,2,79.16,85.79,SAME
1,88.65,13.62,15,0,90.7,87.58,HARDER
2,73.01,18.09,10,1,65.43,71.2,HARDER
2,74.17,18.68,12,3,68.17,69.41,HARDER
1,72.66,32.22,13,4,75.66,74.04,SAME
3,99.39,24.92,16,0,91.68,87.71,HARDER
2,27.66,120.0,14,11,31.19,52.5,EASIER
2,76.96,30.5,15,5,80.16,100.0,SAME
1,66.58,55.78,16,4,67.97,72.13,SAME
1,93.8,44.72,11,2,93.69,91.75,HARDER
1,62.75,24.28,12,4,60.12,80.54,SAME
1,85.07,40.35,11,1,87.37,73.93,SAME
3,96.53,42.87,11,0,100.0,100.0,HARDER
1,77.36,26.78,10,2,82.76,92.85,HARDER
3,73.99,114.98,15,5,74.38,67.98,EASIER
3,56.94,19.4,12,6,61.54,49.54,SAME
1,72.92,15.71,17,2,79.59,81.74,HARDER
3,77.57,33.78,13,3,81.05,75.13,HARDER
2,100.0,25.92,17,0,100.0,80.45,HARDER
1,90.69,32.68,12,2,100.0,100.0,HARDER
2,81.66,35.85,11,2,77.81,66.38,SAME
1,91.34,35.0,17,2,90.91,100.0,HARDER
2,45.62,25.24,15,6,43.28,55.6,EASIER
1,86.0,18.02,16,1,82.75,73.18,HARDER
1,69.03,38.3,15,5,69.88,70.8,SAME
2,56.27,19.93,17,7,47.35,61.82,SAME
1,82.81,47.62,14,2,80.88,100.0,SAME
1,88.89,29.89,10,4,92.49,75.97,SAME
1,70.18,33.0,10,4,69.95,69.0,SAME
2,56.34,19.52,13,5,64.09,87.57,SAME
1,58.48,22.96,16,5,54.3,58.55,SAME
3,71.61,15.77,16,4,72.74,70.59,HARDER
2,93.42,32.78,10,0,93.16,100.0,HARDER
2,72.64,17.64,12,2,72.93,89.19,HARDER
2,78.42,25.07,17,4,76.07,80.88,SAME
1,100.0,18.4,12,0,99.87,93.61,HARDER
1,99.01,27.96,10,1,99.4,100.0,HARDER
2,73.24,79.69,11,4,69.83,71.19,EASIER
2,46.58,35.75,15,6,38.18,52.81,EASIER
1,74.36,22.45,14,5,71.0,39.12,SAME
3,74.5,30.37,10,1,76.59,71.44,HARDER
3,81.52,27.59,10,1,84.13,82.26,HARDER
2,73.81,17.98,12,2,70.84,66.47,HARDER
1,84.08,26.03,10,0,82.5,62.4,HARDER
1,69.41,33.29,15,5,72.89,84.29,SAME
3,67.57,54.37,10,2,76.21,100.0,SAME
1,69.73,26.86,15,5,70.44,80.98,SAME
1,75.27,45.7,17,4,84.61,69.99,SAME
2,100.0,24.45,15,1,100.0,100.0,HARDER
3,55.42,23.17,15,7,64.56,89.39,SAME
1,42.49,53.32,10,6,45.06,56.71,EASIER
3,64.67,73.38,14,4,73.09,65.82,EASIER
1,59.36,39.01,14,5,66.87,62.24,EASIER
1,47.25,19.98,11,4,47.73,41.9,EASIER
1,81.15,90.7,16,3,89.36,90.01,SAME
3,51.73,18.98,11,4,50.19,58.66,SAME
2,62.95,19.31,12,4,62.7,67.99,SAME
2,74.07,28.5,14,2,70.37,54.33,SAME
2,98.97,20.84,13,0,96.5,100.0,HARDER
1,75.77,29.96,11,5,77.1,79.18,SAME
2,61.44,37.89,10,4,63.96,55.59,SAME
1,59.86,27.93,12,7,57.78,55.22,EASIER
1,63.35,24.71,16,4,68.3,91.18,SAME
2,92.42,26.18,13,2,86.89,72.49,HARDER
2,48.34,51.42,10,5,43.32,33.38,EASIER
2,91.44,68.43,16,2,97.43,97.31,SAME
1,72.3,20.93,15,4,70.61,58.64,SAME
1,100.0,67.63,10,4,95.88,93.75,SAME
2,97.7,46.31,14,1,97.43,97.06,HARDER
1,87.13,13.57,13,0,81.31,78.4,HARDER
2,67.8,33.81,12,4,75.1,79.14,SAME
3,79.17,34.49,12,0,74.18,42.75,HARDER
2,46.78,39.6,10,6,44.85,21.91,EASIER
3,47.22,29.1,11,3,47.94,49.17,SAME
3,97.34,28.76,17,0,100.0,100.0,HARDER
1,89.82,52.91,15,0,89.46,100.0,HARDER
1,100.0,46.58,15,0,99.29,100.0,HARDER
1,100.0,47.93,11,1,100.0,93.89,HARDER
2,90.77,40.92,15,3,91.01,86.78,HARDER
1,84.95,22.46,10,0,81.79,55.25,HARDER
2,60.63,22.13,13,2,59.57,55.36,SAME
3,69.59,26.53,13,2,73.42,79.92,HARDER
3,68.63,24.54,10,2,68.91,47.85,SAME
1,66.21,20.2,14,2,66.74,56.61,SAME
1,57.78,44.74,10,3,61.58,80.4,SAME
1,62.98,36.19,12,4,63.02,66.1,SAME
3,67.97,46.92,11,5,65.22,54.13,SAME
1,73.26,24.74,10,0,66.11,69.65,HARDER
1,80.99,40.71,14,2,80.28,84.16,SAME
2,66.26,31.81,15,3,72.1,46.46,SAME
2,83.24,33.55,16,2,85.84,85.25,HARDER
1,80.21,15.81,12,1,82.78,86.96,HARDER
1,100.0,49.39,14,0,97.23,100.0,HARDER
2,100.0,37.08,16,1,99.49,94.59,HARDER
3,88.28,59.24,11,2,84.55,100.0,HARDER
1,71.58,37.68,10,2,75.14,77.01,SAME
2,71.69,51.88,10,2,82.71,75.07,SAME
2,36.19,33.82,10,6,33.71,48.47,EASIER
1,58.57,36.52,11,3,56.26,62.03,SAME
2,100.0,23.05,13,0,100.0,100.0,HARDER
1,94.18,21.33,16,0,100.0,100.0,HARDER
3,72.26,34.94,16,5,70.32,84.96,SAME
1,77.69,21.66,16,3,75.53,68.5,SAME
3,61.44,49.31,13,5,57.21,83.76,SAME
3,78.11,14.49,13,2,74.68,93.72,HARDER
2,73.07,36.43,13,2,69.88,100.0,HARDER
2,75.96,23.7,13,3,85.73,67.07,SAME
2,75.57,32.31,16,5,74.07,70.11,EASIER
2,50.85,26.59,10,6,57.18,56.41,SAME
1,52.15,8.94,16,8,42.5,27.85,EASIER
1,42.6,31.56,17,12,43.44,35.23,EASIER
2,37.49,27.4,15,10,39.06,39.1,EASIER
1,74.33,63.22,17,4,70.02,49.0,EASIER
3,64.52,42.6,11,2,66.1,70.1,SAME
2,62.77,26.38,11,2,62.34,59.24,SAME
3,55.81,46.06,10,3,59.5,90.39,SAME
3,59.6,46.22,11,3,62.83,74.52,SAME
1,48.42,24.99,12,5,52.64,66.13,SAME
2,100.0,24.27,13,0,100.0,93.52,HARDER
1,55.44,45.23,15,6,54.82,60.25,EASIER
2,78.24,18.82,10,3,76.98,98.79,HARDER
1,95.38,19.2,16,1,99.72,88.83,HARDER
1,80.39,27.62,16,1,75.24,47.42,SAME
3,80.36,25.53,16,4,76.37,90.37,HARDER
3,64.0,30.88,12,2,63.28,57.94,SAME
1,65.55,35.47,10,3,64.25,50.99,SAME
2,87.49,31.58,10,0,84.82,96.37,HARDER
2,70.59,21.52,11,4,67.37,51.81,SAME
2,67.56,31.15,17,5,72.7,68.48,SAME
3,81.23,32.16,11,3,76.91,65.18,HARDER
2,77.81,45.11,12,2,82.79,77.75,SAME
