puzzle_pieces,accuracy,response_time,attempts,mistakes,previous_score,current_level,difficulty_change
9,70.44,26.73,16,4,68.89,3,SAME
12,74.14,29.58,21,4,54.21,4,SAME
6,88.37,13.02,8,1,93.23,2,HARDER
12,83.89,29.23,14,2,89.63,4,HARDER
16,78.27,40.45,24,4,49.65,5,EASIER
4,99.46,11.06,4,0,100.0,1,HARDER
9,81.91,25.82,13,2,80.38,3,HARDER
16,88.18,22.58,20,2,78.08,5,HARDER
12,74.91,34.7,18,4,76.99,4,SAME
12,92.54,14.51,14,1,97.91,4,HARDER
4,79.0,10.64,5,1,98.23,1,HARDER
9,89.31,19.68,11,1,92.46,3,HARDER
9,80.69,20.74,13,2,76.46,3,HARDER
16,71.28,19.91,24,6,53.32,5,SAME
9,69.87,54.35,15,4,72.23,3,EASIER
9,91.05,24.26,11,1,80.83,3,HARDER
9,90.1,13.98,12,1,84.03,3,HARDER
6,100.0,8.21,6,0,100.0,2,HARDER
4,100.0,6.94,5,0,95.67,1,HARDER
9,90.16,26.56,10,1,98.17,3,HARDER
16,88.93,17.17,20,2,88.97,5,SAME
12,86.53,15.04,15,2,85.54,4,HARDER
6,84.96,17.63,8,1,85.55,2,HARDER
12,100.0,16.93,15,0,89.32,4,HARDER
12,79.55,52.9,17,3,73.54,4,EASIER
16,80.12,42.47,27,4,55.94,5,SAME
9,80.87,34.38,11,2,87.19,3,HARDER
9,89.66,11.68,11,1,91.91,3,HARDER
12,84.51,24.31,14,2,91.66,4,HARDER
6,84.29,13.61,7,1,97.54,2,HARDER
4,98.27,10.45,4,0,98.23,1,EASIER
16,79.01,41.55,21,4,71.57,5,SAME
16,75.42,18.04,22,5,62.74,5,EASIER
16,79.42,33.05,23,4,68.39,5,EASIER
16,88.69,28.9,20,2,70.04,5,SAME
16,80.24,43.48,23,4,74.95,5,EASIER
12,79.18,18.13,20,3,71.24,4,SAME
9,89.09,19.16,10,1,87.46,3,HARDER
9,90.26,20.34,10,1,81.15,3,HARDER
6,86.4,14.23,7,1,99.57,2,HARDER
16,84.21,21.09,22,3,72.24,5,HARDER
12,79.95,23.98,17,3,74.88,4,SAME
4,99.75,9.97,4,0,97.98,1,HARDER
6,99.68,11.22,6,0,100.0,2,HARDER
16,91.53,25.88,20,2,79.6,5,HARDER
4,99.82,10.86,4,0,90.89,1,HARDER
16,91.15,25.93,22,2,93.16,5,HARDER
4,67.18,28.81,8,2,81.44,1,SAME
16,76.03,39.9,24,5,59.32,5,EASIER
6,99.74,11.83,6,0,100.0,2,HARDER
12,91.78,21.9,14,1,92.53,4,HARDER
4,80.56,12.84,5,1,75.15,1,SAME
9,83.24,18.64,11,2,59.58,3,SAME
12,79.8,16.18,17,3,87.5,4,HARDER
12,86.57,30.2,14,2,95.84,4,HARDER
16,81.73,36.33,26,4,55.37,5,SAME
12,74.49,22.41,17,4,65.66,4,EASIER
16,80.43,45.17,23,4,61.13,5,HARDER
4,99.36,12.42,4,0,97.94,1,HARDER
9,69.28,21.33,15,4,76.27,3,EASIER
6,100.0,10.2,6,0,100.0,2,HARDER
6,73.97,17.37,12,2,70.7,2,SAME
9,99.92,12.36,9,0,100.0,3,HARDER
12,85.72,40.51,18,2,81.58,4,HARDER
4,100.0,15.9,4,0,85.28,1,HARDER
12,81.62,37.21,17,3,71.85,4,SAME
12,87.69,27.14,21,2,65.12,4,SAME
9,70.27,29.12,16,4,64.83,3,EASIER
16,74.19,28.69,27,5,48.4,5,SAME
12,90.98,20.94,15,1,81.95,4,HARDER
16,84.38,43.7,21,3,73.96,5,HARDER
16,65.16,50.97,31,9,28.83,5,EASIER
9,91.96,20.5,12,1,92.07,3,HARDER
9,76.09,22.87,16,3,59.92,3,SAME
9,90.89,11.59,12,1,80.53,3,HARDER
9,72.2,19.07,12,3,84.42,3,SAME
4,98.83,11.68,4,0,95.7,1,HARDER
16,67.6,23.3,25,7,50.91,5,HARDER
9,75.93,36.33,15,3,72.91,3,SAME
4,79.25,13.97,5,1,98.09,1,HARDER
6,100.0,11.33,6,0,95.06,2,HARDER
9,62.85,43.59,17,5,45.55,3,EASIER
9,91.42,22.18,12,1,83.49,3,HARDER
9,89.83,16.82,10,1,75.51,3,HARDER
16,70.55,30.95,27,6,41.55,5,EASIER
6,67.13,24.92,12,3,70.23,2,EASIER
4,98.47,7.24,4,0,100.0,1,HARDER
9,98.88,12.21,9,0,96.09,3,HARDER
4,78.44,9.37,6,1,99.53,1,HARDER
4,66.48,22.02,8,2,78.17,1,SAME
9,74.33,19.24,12,3,82.16,3,HARDER
16,95.0,22.38,17,1,100.0,5,HARDER
6,85.01,19.12,8,1,90.96,2,HARDER
9,66.85,28.05,17,4,62.6,3,EASIER
12,74.29,31.31,20,4,62.33,4,EASIER
16,77.12,34.17,24,5,50.44,5,EASIER
4,98.49,12.51,4,0,100.0,1,HARDER
12,86.29,20.25,16,2,81.69,4,HARDER
4,100.0,15.04,4,0,100.0,1,HARDER
12,91.43,18.6,14,1,91.31,4,HARDER
9,81.04,13.86,13,2,84.68,3,HARDER
4,81.38,10.66,6,1,89.75,1,HARDER
9,83.53,31.56,13,2,71.66,3,SAME
16,93.96,23.06,19,1,83.79,5,HARDER
12,84.55,33.47,15,2,75.57,4,SAME
4,81.03,11.64,5,1,99.75,1,HARDER
9,91.42,13.87,13,1,100.0,3,HARDER
12,79.19,18.04,16,3,82.43,4,SAME
16,72.99,53.29,22,6,66.19,5,EASIER
4,80.89,12.63,7,1,82.67,1,SAME
4,100.0,8.59,4,0,100.0,1,HARDER
6,100.0,19.3,6,0,96.61,2,HARDER
6,84.33,16.07,8,1,89.61,2,HARDER
12,81.26,29.04,18,3,77.16,4,HARDER
12,70.25,26.05,21,5,47.3,4,EASIER
16,92.58,31.15,19,1,79.24,5,HARDER
12,75.1,19.27,17,4,63.61,4,SAME
9,88.49,18.88,12,1,84.38,3,HARDER
4,96.74,11.05,4,0,87.66,1,HARDER
6,74.61,17.93,10,2,76.45,2,SAME
12,93.13,17.43,13,1,100.0,4,HARDER
6,84.86,13.69,7,1,100.0,2,HARDER
16,73.24,32.64,27,6,44.09,5,EASIER
16,80.88,40.94,22,4,60.67,5,SAME
12,63.77,42.67,24,7,36.56,4,EASIER
4,77.87,20.96,5,1,88.99,1,SAME
4,79.97,19.08,5,1,99.36,1,HARDER
6,84.84,19.72,7,1,92.84,2,HARDER
16,82.54,20.01,21,3,99.59,5,HARDER
16,67.95,38.72,33,8,22.15,5,EASIER
6,83.95,15.78,8,1,88.7,2,HARDER
12,86.5,27.94,15,2,86.61,4,HARDER
12,66.56,44.0,20,6,51.19,4,EASIER
9,81.14,19.63,12,2,76.8,3,HARDER
6,88.21,17.07,7,1,75.5,2,HARDER
12,75.93,23.4,17,4,73.14,4,SAME
9,75.55,18.94,14,3,69.31,3,SAME
16,72.18,54.0,25,6,52.18,5,EASIER
12,85.45,26.28,16,2,85.58,4,HARDER
12,81.21,17.01,18,3,86.45,4,HARDER
9,74.16,19.57,13,3,88.4,3,SAME
9,82.73,24.84,14,2,77.94,3,HARDER
6,83.71,20.65,7,1,79.77,2,HARDER
4,99.43,12.02,4,0,91.89,1,HARDER
9,89.33,19.98,10,1,85.96,3,HARDER
4,80.34,13.31,5,1,83.92,1,HARDER
4,100.0,9.4,4,0,97.53,1,HARDER
4,81.24,23.59,5,1,84.74,1,HARDER
12,83.94,17.48,14,2,81.04,4,HARDER
9,75.62,26.19,15,3,76.94,3,SAME
16,85.58,31.92,21,3,69.25,5,HARDER
4,79.2,12.56,5,1,93.9,1,HARDER
4,67.84,21.51,9,2,60.59,1,EASIER
16,89.29,21.15,19,2,86.84,5,HARDER
16,89.16,24.9,20,2,78.72,5,HARDER
4,98.55,8.12,4,0,100.0,1,HARDER
9,82.44,23.09,11,2,78.25,3,HARDER
6,76.1,21.49,8,2,84.32,2,SAME
9,68.71,21.93,14,4,65.72,3,EASIER
9,75.1,20.25,15,3,73.35,3,SAME
12,70.27,44.0,17,5,62.55,4,EASIER
16,87.41,33.91,19,2,83.06,5,HARDER
12,81.42,23.13,16,3,77.47,4,HARDER
4,100.0,9.0,4,0,100.0,1,HARDER
4,57.2,26.78,11,3,79.2,1,EASIER
12,76.32,27.74,20,4,66.15,4,HARDER
16,85.32,35.44,20,3,80.62,5,HARDER
16,83.71,27.03,20,3,83.54,5,HARDER
9,83.05,21.9,12,2,71.0,3,HARDER
16,72.44,21.57,23,6,60.0,5,EASIER
9,83.29,23.55,13,2,86.93,3,HARDER
6,88.25,16.28,7,1,92.99,2,HARDER
16,81.94,38.1,22,4,72.04,5,SAME
9,79.49,20.75,13,2,83.24,3,HARDER
9,100.0,15.25,9,0,100.0,3,HARDER
16,80.78,25.02,22,4,68.85,5,SAME
12,86.0,25.36,15,2,79.78,4,HARDER
4,100.0,10.91,4,0,100.0,1,HARDER
9,70.53,31.94,19,4,48.43,3,EASIER
6,100.0,11.24,7,0,93.5,2,HARDER
12,99.23,9.86,12,0,88.96,4,HARDER
9,75.78,15.06,16,3,79.98,3,SAME
9,68.69,34.17,16,4,47.14,3,SAME
6,85.66,18.09,8,1,83.76,2,HARDER
4,80.57,16.06,6,1,75.63,1,SAME
4,100.0,9.22,4,0,97.97,1,HARDER
16,89.81,43.28,18,2,94.41,5,HARDER
6,86.95,14.13,9,1,100.0,2,HARDER
16,85.72,37.53,21,3,78.09,5,HARDER
12,86.26,28.22,16,2,83.61,4,SAME
4,66.96,11.67,8,2,77.78,1,SAME
4,80.97,14.9,6,1,100.0,1,SAME
4,99.41,9.76,4,0,100.0,1,HARDER
6,100.0,10.42,7,0,100.0,2,HARDER
16,89.17,34.01,20,2,86.5,5,HARDER
16,88.88,30.36,23,2,75.47,5,HARDER
16,73.27,31.86,25,6,63.41,5,SAME
6,99.61,12.12,6,0,97.3,2,HARDER
6,60.19,39.64,14,4,58.11,2,EASIER
6,100.0,22.22,6,0,99.63,2,HARDER
9,90.25,21.12,11,1,91.97,3,HARDER
4,99.29,10.03,4,0,100.0,1,HARDER
12,93.01,27.38,15,1,84.28,4,HARDER
9,91.31,15.96,11,1,99.61,3,HARDER
12,75.31,45.64,20,4,54.17,4,EASIER
12,74.8,40.36,21,4,60.61,4,EASIER
4,80.84,24.83,7,1,85.96,1,HARDER
9,91.2,36.86,10,1,100.0,3,HARDER
4,68.22,16.16,6,2,96.07,1,HARDER
12,71.08,39.74,19,5,50.18,4,EASIER
16,79.28,27.94,21,4,78.96,5,HARDER
9,76.15,42.29,14,3,62.23,3,EASIER
16,84.78,32.67,24,3,65.8,5,HARDER
9,64.11,38.2,16,5,58.58,3,EASIER
4,100.0,10.26,4,0,93.85,1,HARDER
16,83.37,51.25,21,3,93.25,5,HARDER
12,75.32,44.48,18,4,62.82,4,EASIER
6,100.0,15.32,6,0,100.0,2,HARDER
9,82.73,17.55,14,2,69.01,3,SAME
9,82.04,19.9,13,2,75.12,3,SAME
6,84.7,18.7,7,1,94.43,2,HARDER
16,66.43,40.69,32,8,19.14,5,EASIER
6,65.34,25.18,10,3,69.99,2,EASIER
16,76.18,35.62,26,5,44.85,5,EASIER
6,100.0,7.83,6,0,93.29,2,HARDER
6,98.82,20.55,9,0,88.99,2,HARDER
6,85.35,15.52,11,1,91.04,2,HARDER
12,62.21,51.02,28,7,17.19,4,EASIER
16,86.55,20.73,19,3,90.92,5,HARDER
6,75.09,20.83,9,2,88.4,2,SAME
16,84.88,40.4,21,3,78.94,5,HARDER
9,82.97,24.65,11,2,81.17,3,SAME
12,66.58,32.63,23,6,31.29,4,EASIER
6,100.0,16.2,6,0,100.0,2,HARDER
4,80.03,10.75,7,1,79.22,1,SAME
4,67.07,12.38,6,2,81.66,1,HARDER
16,81.01,62.12,22,4,86.1,5,EASIER
9,99.19,16.58,10,0,100.0,3,HARDER
16,80.19,32.37,23,4,54.71,5,EASIER
9,82.69,19.35,12,2,87.7,3,SAME
6,86.24,21.06,7,1,96.8,2,HARDER
16,80.11,35.71,24,4,55.22,5,HARDER
16,89.08,26.71,21,2,77.4,5,SAME
16,87.54,21.52,21,2,75.58,5,EASIER
9,90.08,27.64,11,1,86.29,3,HARDER
12,85.36,24.91,17,2,82.6,4,HARDER
4,100.0,12.17,4,0,95.57,1,HARDER
16,100.0,18.03,16,0,100.0,5,HARDER
4,80.29,14.67,5,1,84.1,1,HARDER
4,99.87,10.86,5,0,100.0,1,HARDER
9,54.46,31.56,21,8,29.68,3,EASIER
9,100.0,26.32,9,0,94.07,3,HARDER
4,98.7,10.17,5,0,95.49,1,HARDER
12,92.82,17.94,14,1,91.31,4,HARDER
4,80.1,14.21,5,1,93.22,1,HARDER
12,98.63,28.87,12,0,100.0,4,HARDER
16,63.55,26.01,34,9,16.18,5,EASIER
6,86.57,14.51,10,1,97.45,2,HARDER
16,73.19,44.46,27,6,47.24,5,EASIER
12,93.8,20.99,13,1,88.74,4,HARDER
6,75.62,15.33,10,2,74.71,2,SAME
6,100.0,9.31,6,0,100.0,2,HARDER
12,80.78,17.07,18,3,88.42,4,SAME
6,86.34,8.79,8,1,95.92,2,HARDER
9,89.43,15.99,14,1,71.41,3,HARDER
12,84.8,21.45,16,2,68.83,4,HARDER
4,100.0,14.84,4,0,100.0,1,EASIER
6,66.44,16.2,10,3,81.82,2,SAME
9,76.21,24.85,13,3,84.42,3,SAME
4,80.65,11.7,6,1,100.0,1,HARDER
6,86.8,16.64,7,1,92.46,2,HARDER
12,85.51,22.22,15,2,83.47,4,HARDER
4,99.76,8.17,4,0,87.82,1,HARDER
6,86.67,18.39,7,1,84.02,2,HARDER
4,99.7,13.28,4,0,82.46,1,HARDER
16,74.82,41.71,23,5,65.3,5,SAME
9,89.34,26.2,11,1,85.73,3,HARDER
16,90.14,30.38,23,2,71.3,5,HARDER
4,99.53,9.35,4,0,94.55,1,HARDER
4,79.37,11.72,5,1,91.68,1,HARDER
6,100.0,16.36,6,0,94.57,2,HARDER
6,84.34,11.7,8,1,90.87,2,HARDER
6,83.51,29.32,9,1,93.11,2,SAME
12,76.46,24.54,19,4,76.04,4,SAME
16,82.91,22.79,21,3,85.58,5,HARDER
9,88.63,12.65,10,1,100.0,3,HARDER
4,100.0,12.14,4,0,100.0,1,HARDER
12,79.82,21.22,16,3,77.13,4,HARDER
6,99.93,11.74,6,0,96.1,2,HARDER
6,67.46,22.4,12,3,78.45,2,EASIER
12,75.95,34.29,18,4,51.28,4,EASIER
6,85.29,18.7,9,1,100.0,2,HARDER
4,100.0,10.03,5,0,100.0,1,HARDER
12,94.83,28.43,15,1,83.61,4,HARDER
6,86.06,12.2,7,1,94.34,2,HARDER
4,100.0,12.36,4,0,100.0,1,HARDER
6,88.06,25.86,9,1,90.18,2,HARDER
4,100.0,9.65,4,0,94.73,1,HARDER
16,71.2,37.43,29,7,37.61,5,EASIER
12,80.38,22.35,18,3,66.89,4,HARDER
6,85.56,13.86,10,1,81.54,2,HARDER
9,89.61,18.95,10,1,85.86,3,HARDER
9,100.0,15.11,10,0,100.0,3,HARDER
6,60.06,20.56,11,4,62.78,2,EASIER
6,87.6,17.22,8,1,83.3,2,HARDER
4,80.16,15.0,5,1,88.53,1,HARDER
9,100.0,17.21,9,0,100.0,3,HARDER
9,80.36,23.58,12,2,89.36,3,HARDER
12,86.99,13.98,16,2,92.87,4,HARDER
16,88.28,27.3,21,2,79.56,5,HARDER
12,67.38,35.08,21,6,57.31,4,EASIER
6,85.18,10.07,10,1,87.47,2,HARDER
4,99.19,7.21,4,0,93.35,1,HARDER
6,86.2,12.78,8,1,94.75,2,HARDER
16,66.89,27.56,33,8,22.94,5,HARDER
9,90.34,14.31,10,1,100.0,3,HARDER
6,100.0,21.06,7,0,87.47,2,HARDER
16,81.56,37.95,20,3,85.0,5,SAME
9,82.41,16.28,14,2,79.86,3,SAME
16,70.92,33.16,28,6,51.8,5,EASIER
16,89.0,27.83,21,2,94.43,5,HARDER
6,75.98,12.79,8,2,87.7,2,HARDER
9,89.79,13.61,12,1,78.39,3,HARDER
4,68.13,14.96,7,2,93.05,1,HARDER
9,74.03,17.35,16,3,59.14,3,EASIER
9,81.42,16.51,11,2,84.9,3,HARDER
6,85.69,13.3,7,1,100.0,2,HARDER
9,74.99,33.93,13,3,68.9,3,EASIER
9,75.91,24.36,17,3,69.41,3,SAME
4,98.8,16.98,4,0,100.0,1,HARDER
4,99.13,9.07,4,0,97.62,1,HARDER
16,69.96,21.24,27,7,40.13,5,EASIER
9,100.0,21.52,11,0,100.0,3,EASIER
12,75.29,26.55,20,4,45.69,4,EASIER
4,98.83,10.91,4,0,100.0,1,HARDER
16,65.14,41.05,32,9,24.31,5,EASIER
12,79.11,39.34,15,3,87.6,4,HARDER
12,73.03,38.72,17,4,67.51,4,EASIER
12,74.89,29.49,21,4,68.59,4,SAME
4,80.86,14.79,5,1,76.37,1,HARDER
9,74.31,19.36,15,3,64.17,3,HARDER
16,94.25,23.18,20,1,80.46,5,HARDER
16,77.87,27.28,26,4,73.3,5,SAME
4,99.65,11.52,4,0,92.82,1,HARDER
12,84.54,22.26,16,2,79.63,4,HARDER
12,80.5,38.99,17,3,70.68,4,SAME
9,81.45,20.08,13,2,75.82,3,SAME
9,89.65,16.47,10,1,89.88,3,HARDER
4,67.29,20.04,6,2,85.08,1,SAME
12,91.63,39.34,14,1,91.71,4,HARDER
16,84.46,27.63,19,3,89.11,5,HARDER
16,75.56,46.24,24,5,64.46,5,EASIER
4,100.0,10.18,4,0,97.81,1,HARDER
9,88.36,19.31,11,1,100.0,3,HARDER
4,78.67,18.63,5,1,100.0,1,HARDER
9,99.67,15.45,10,0,100.0,3,HARDER
16,75.63,39.8,23,5,54.3,5,EASIER
4,80.64,20.91,6,1,86.43,1,SAME
16,84.24,46.66,21,3,65.94,5,SAME
6,100.0,11.49,6,0,100.0,2,HARDER
9,98.81,13.1,9,0,89.17,3,HARDER
9,83.95,28.0,13,2,87.67,3,HARDER
6,86.85,23.45,7,1,95.18,2,HARDER
6,85.92,13.04,8,1,91.03,2,SAME
16,70.18,32.04,28,7,33.11,5,EASIER
12,84.6,22.41,16,2,76.61,4,HARDER
6,100.0,19.61,6,0,89.19,2,HARDER
16,89.9,25.5,20,2,86.75,5,HARDER
16,91.58,18.97,17,1,91.19,5,HARDER
9,81.29,14.06,11,2,83.14,3,HARDER
9,92.1,18.1,14,1,76.18,3,HARDER
12,75.7,44.85,19,4,65.53,4,SAME
12,78.19,26.15,18,3,72.41,4,SAME
12,90.55,19.38,13,1,87.28,4,HARDER
4,99.61,12.47,4,0,90.81,1,HARDER
12,59.49,40.4,25,8,34.83,4,EASIER
9,89.59,20.79,11,1,92.91,3,HARDER
16,82.22,23.18,21,3,65.55,5,SAME
12,81.05,26.09,19,3,65.1,4,SAME
9,81.12,16.14,14,2,86.93,3,SAME
9,90.92,14.32,12,1,97.69,3,HARDER
12,99.88,17.52,12,0,100.0,4,HARDER
9,99.93,24.15,10,0,100.0,3,HARDER
12,85.07,30.23,17,2,90.44,4,HARDER
16,74.13,23.84,25,6,49.28,5,EASIER
9,99.42,14.47,10,0,96.98,3,HARDER
16,78.76,28.24,21,4,68.95,5,HARDER
9,89.9,20.97,11,1,88.94,3,HARDER
6,86.36,16.08,7,1,100.0,2,HARDER
9,76.0,27.51,14,3,79.39,3,SAME
16,81.21,39.32,26,4,53.38,5,SAME
4,99.64,10.02,4,0,100.0,1,HARDER
16,80.13,27.7,25,4,66.06,5,HARDER
16,71.57,37.76,25,6,53.19,5,EASIER
12,92.26,28.87,13,1,96.98,4,HARDER
9,100.0,16.6,9,0,97.32,3,HARDER
9,74.06,17.77,15,3,85.26,3,HARDER
12,85.29,25.06,14,2,88.78,4,HARDER
9,68.74,29.45,15,4,63.87,3,EASIER
9,99.17,12.05,10,0,100.0,3,HARDER
9,69.71,25.08,14,4,56.47,3,EASIER
6,100.0,13.47,6,0,99.97,2,HARDER
9,89.84,21.57,11,1,99.4,3,HARDER
16,80.37,14.27,24,4,66.06,5,SAME
4,67.17,18.08,9,2,84.5,1,EASIER
9,89.46,19.26,12,1,92.56,3,HARDER
4,100.0,14.55,5,0,91.95,1,HARDER
4,100.0,11.22,4,0,98.99,1,HARDER
16,71.96,37.63,24,6,58.29,5,EASIER
6,99.83,21.0,6,0,94.82,2,HARDER
6,76.32,25.23,8,2,79.63,2,HARDER
6,99.83,12.48,6,0,95.63,2,HARDER
6,86.66,10.03,7,1,99.38,2,HARDER
16,73.1,28.64,29,6,39.5,5,EASIER
12,80.31,36.53,19,3,69.46,4,SAME
6,66.12,25.2,10,3,66.21,2,EASIER
6,98.78,19.73,6,0,96.84,2,HARDER
4,80.98,18.14,5,1,92.28,1,HARDER
4,80.64,14.76,6,1,100.0,1,HARDER
9,58.73,47.93,20,6,52.94,3,EASIER
16,60.82,38.09,30,10,19.65,5,EASIER
12,91.3,13.55,13,1,95.32,4,HARDER
6,100.0,18.97,6,0,100.0,2,HARDER
6,66.87,20.21,14,3,67.25,2,SAME
16,76.75,27.27,25,5,62.22,5,EASIER
9,74.31,44.29,14,3,73.18,3,EASIER
9,88.16,27.97,10,1,90.99,3,HARDER
9,100.0,12.88,9,0,100.0,3,HARDER
4,78.72,15.99,6,1,90.59,1,HARDER
16,79.38,18.87,20,4,74.68,5,SAME
4,67.83,22.16,9,2,81.92,1,EASIER
6,66.61,21.39,9,3,80.3,2,EASIER
4,100.0,8.63,4,0,92.48,1,HARDER
6,86.21,21.22,7,1,99.27,2,HARDER
9,68.6,23.4,14,4,58.8,3,EASIER
4,100.0,12.28,4,0,100.0,1,HARDER
16,76.9,15.86,26,5,74.17,5,EASIER
6,100.0,11.61,6,0,100.0,2,HARDER
6,73.68,12.58,10,2,82.14,2,HARDER
4,100.0,9.18,4,0,100.0,1,HARDER
12,70.53,34.96,20,5,55.34,4,EASIER
9,74.99,32.77,13,3,73.28,3,SAME
9,100.0,26.15,10,0,91.47,3,HARDER
12,100.0,25.67,13,0,87.8,4,HARDER
6,83.87,24.26,9,1,91.75,2,HARDER
16,81.99,22.15,24,4,73.51,5,SAME
16,57.36,47.58,37,12,8.36,5,EASIER
4,97.86,15.63,4,0,86.84,1,HARDER
6,87.09,15.07,8,1,74.83,2,HARDER
16,82.93,37.69,23,3,74.39,5,SAME
6,73.81,14.84,10,2,95.09,2,HARDER
16,90.36,16.53,21,2,77.2,5,EASIER
9,99.07,20.68,10,0,100.0,3,HARDER
6,75.48,20.2,12,2,67.59,2,SAME
12,81.29,18.32,17,3,80.36,4,HARDER
12,83.75,28.08,16,2,85.29,4,SAME
16,73.54,49.86,23,6,54.36,5,EASIER
6,100.0,12.49,6,0,100.0,2,HARDER
9,99.86,18.94,9,0,98.2,3,HARDER
9,80.54,20.08,12,2,77.33,3,HARDER
12,84.52,27.65,15,2,84.46,4,HARDER
9,82.46,19.77,13,2,97.18,3,HARDER
16,70.26,24.33,29,7,43.96,5,EASIER
12,75.23,20.21,20,4,73.33,4,EASIER
6,75.14,19.11,9,2,88.39,2,HARDER
16,67.99,23.94,25,8,39.1,5,EASIER
12,67.67,33.18,21,6,41.48,4,EASIER
6,99.39,12.95,7,0,100.0,2,HARDER
6,84.3,15.87,7,1,99.08,2,HARDER
12,75.29,25.64,23,4,49.48,4,EASIER
16,80.77,30.16,24,4,68.73,5,HARDER
4,100.0,14.2,4,0,90.65,1,HARDER
12,79.15,31.48,20,3,80.01,4,SAME
9,69.01,24.91,18,4,67.94,3,EASIER
12,75.67,27.39,21,4,65.9,4,HARDER
6,99.76,15.44,7,0,100.0,2,HARDER
16,76.32,27.98,29,5,56.69,5,EASIER
4,67.09,16.14,7,2,72.3,1,SAME
4,79.97,13.35,6,1,97.29,1,HARDER
16,73.1,23.65,26,6,55.5,5,SAME
6,86.02,18.74,8,1,96.45,2,HARDER
6,86.71,16.61,8,1,87.54,2,HARDER
12,93.02,22.29,15,1,93.13,4,HARDER
4,79.17,19.17,5,1,87.82,1,HARDER
9,97.91,20.12,10,0,89.7,3,HARDER
6,65.51,27.45,13,3,85.15,2,EASIER
12,85.76,16.69,17,2,68.15,4,HARDER
9,74.07,16.64,15,3,76.52,3,EASIER
9,90.33,20.62,11,1,85.06,3,HARDER
9,75.29,20.6,12,3,73.2,3,SAME
4,99.74,11.99,4,0,100.0,1,HARDER
12,87.6,20.46,19,2,78.97,4,HARDER
12,79.84,23.53,16,3,71.44,4,HARDER
16,83.26,21.21,21,3,79.72,5,HARDER
16,66.01,32.5,30,8,28.68,5,EASIER
6,99.89,14.24,6,0,99.01,2,HARDER
6,66.43,27.95,11,3,65.77,2,EASIER
4,79.75,7.89,6,1,85.98,1,HARDER
9,82.84,27.42,12,2,86.91,3,SAME
12,88.53,22.53,14,2,92.51,4,HARDER
4,99.14,10.69,4,0,100.0,1,HARDER
16,89.07,31.88,20,2,92.59,5,HARDER
9,100.0,14.42,10,0,92.3,3,HARDER
9,74.85,20.96,14,3,75.74,3,SAME
6,84.56,14.15,8,1,87.51,2,HARDER
9,74.78,26.23,13,3,91.03,3,SAME
9,89.91,12.77,12,1,82.4,3,HARDER
4,68.87,16.58,6,2,76.63,1,EASIER
4,80.45,19.31,7,1,90.46,1,HARDER
9,81.77,20.4,14,2,77.47,3,HARDER
4,100.0,13.88,4,0,100.0,1,HARDER
4,99.7,10.67,4,0,85.74,1,HARDER
16,73.5,52.68,28,6,45.12,5,EASIER
12,92.89,12.92,14,1,92.37,4,HARDER
16,75.19,27.91,25,5,52.1,5,SAME
16,88.92,21.03,20,2,80.31,5,HARDER
12,99.62,18.6,12,0,100.0,4,SAME
9,82.42,19.67,11,2,90.05,3,SAME
4,79.33,14.65,5,1,94.71,1,HARDER
4,80.0,13.15,6,1,87.03,1,HARDER
12,67.57,36.54,23,6,47.02,4,EASIER
12,93.17,20.33,13,1,100.0,4,HARDER
6,96.95,14.86,6,0,89.65,2,HARDER
16,66.27,42.79,27,8,40.95,5,EASIER
4,68.78,18.05,8,2,91.23,1,SAME
9,89.63,19.13,14,1,91.1,3,HARDER
6,100.0,17.09,6,0,100.0,2,HARDER
4,79.84,18.35,6,1,92.78,1,HARDER
16,72.61,30.8,27,6,48.09,5,EASIER
9,67.8,26.68,19,4,59.66,3,EASIER
4,67.1,10.04,7,2,79.35,1,EASIER
6,51.62,42.75,13,5,62.97,2,EASIER
12,70.29,21.29,22,5,49.79,4,EASIER
16,77.33,47.31,26,5,51.11,5,EASIER
12,69.89,20.69,21,5,63.38,4,EASIER
4,100.0,14.15,4,0,100.0,1,HARDER
6,73.81,26.93,9,2,84.18,2,SAME
12,84.58,23.52,15,2,88.51,4,HARDER
12,85.67,20.01,15,2,94.56,4,HARDER
12,90.49,29.35,14,1,83.53,4,HARDER
16,76.04,27.34,24,5,71.34,5,SAME
12,92.41,19.1,14,1,97.62,4,HARDER
6,99.24,16.98,6,0,95.49,2,HARDER
6,67.34,24.67,11,3,56.19,2,EASIER
4,100.0,13.75,4,0,97.56,1,HARDER
16,83.38,22.2,23,3,73.19,5,SAME
16,93.99,42.71,19,1,85.27,5,HARDER
12,74.47,23.17,21,4,55.07,4,SAME
9,82.42,29.01,12,2,86.28,3,SAME
6,76.82,15.22,8,2,79.31,2,HARDER
9,81.11,20.37,13,2,83.72,3,HARDER
4,78.7,13.82,6,1,85.26,1,HARDER
6,100.0,8.74,7,0,100.0,2,HARDER
4,98.48,24.68,4,0,98.31,1,SAME
9,98.81,21.03,10,0,80.39,3,HARDER
6,76.48,13.31,10,2,79.22,2,SAME
12,80.2,47.71,18,3,65.17,4,SAME
12,79.65,18.63,18,3,73.68,4,HARDER
12,100.0,13.67,12,0,100.0,4,HARDER
16,76.05,36.91,27,5,53.73,5,EASIER
12,85.26,31.31,18,2,79.94,4,HARDER
16,64.25,41.34,28,9,24.38,5,EASIER
